ชื่ออาหาร,ingredient_full_json,total_protein,total_fat,total_carbs,total_calories,วัตถุดิบ,ระดับแคลอรี่,ระดับโปรตีน,ระดับไขมัน,ระดับคาร์บ,วัตถุดิบ_ไม่มีปริมาณ,ของคาวหรือหวาน,query1 อยากกินอาหารครบ,query2,query3
เกี๊ยวน้ำสูตร มัดใจสามี,"{'แผ่นเกี๊ยว': '1 ห่อ', 'หมูบด': '300 กรัม', 'รากผักชี': '3 ต้น', 'กระเทียม': '5 กลีบ', 'พริกไทยเม็ด': '1 ช้อนชา', 'ซอสหอยนางรม': '2 ช้อนโต๊ะ', 'ซีอิ๊วขาว': '1 ช้อนโต๊ะ', 'ซอสปรุงรสฝาเขียว': '1 ช้อนโต๊ะ', 'น้ำมันงา': '1 ช้อนชา', 'น้ำเปล่าสำหรับต้มเกี๊ยว': '2 ถ้วยตวง', 'น้ำมันงาสำหรับคลุกเกี๊ยว': '1 ช้อนชา', 'น้ำเปล่า': '1 ถ้วยตวง', 'รสดีซุปก้อน': '1 ก้อน', 'รากผักชี (น้ำซุป)': '2 ราก', 'กระเทียมบุบ': '2 กลีบ', 'พริกไทยเม็ดบุบ': '1 ช้อนโต๊ะ', 'ซอสปรุงรสฝาเขียว (สำหรับน้ำซุป)': '2 ช้อนโต๊ะ', 'น้ำตาลทราย': '1 ช้อนโต๊ะ', 'พริกไทยป่น': '', 'คื่นฉ่ายซอย': ''}",75.13,359.07,304.98,4752.07,"แผ่นเกี๊ยว, 1ห่อ
หมูบด, 300กรัม
รากผักชี, 3ต้น
กระเทียม, 5กลีบ
พริกไทยเม็ด, 1ช้อนชา
ซอสหอยนางรม, 2ช้อนโต๊ะ
ซีอิ๊วขาว, 1ช้อนโต๊ะ
ซอสปรุงรสฝาเขียว, 1ช้อนโต๊ะ
น้ำมันงา(สำหรับหมักหมู), 1ช้อนชา
น้ำเปล่าสำหรับต้มเกี๊ยว, 2ถ้วยตวง
น้ำมันงาสำหรับคลุกเกี๊ยว, 1ช้อนชา
น้ำเปล่า, 1ถ้วยตวง
รสดีซุปก้อน, 1ก้อน
รากผักชี(น้ำซุป), 2ราก
กระเทียมบุบ, 2กลีบ
พริกไทยเม็ดบุบ, 1ช้อนโต๊ะ
ซอสปรุงรสฝาเขียว(สำหรับน้ำซุป), 2ช้อนโต๊ะ
น้ำตาลทราย, 1ช้อนโต๊ะ
พริกไทยป่น
คื่นฉ่ายซอย",แคลมาก,โปรตีนกลาง,ไขมันสูง,คาร์บสูง,"แผ่นเกี๊ยว, หมูบด, รากผักชี, กระเทียม, พริกไทยเม็ด, ซอสหอยนางรม, ซีอิ๊วขาว, ซอสปรุงรสฝาเขียว, น้ำมันงา, น้ำเปล่าสำหรับต้มเกี๊ยว, น้ำมันงา, น้ำเปล่า, รสดีซุปก้อน, รากผักชี, กระเทียม, พริกไทย, ซอสปรุงรสฝาเขียว, น้ำตาลทราย, พริกไทย, คื่นฉ่าย",ของคาว,อยากทำเมนูพิชิจใจสามี มีแผ่นเกี้ยว หมูบด ซุปก้อน และเครื่องแรุงต่างๆ ทำเมนูอะไรดี,มีซุปแบบอ่อนๆ ที่ใส่เกี๊ยวหมูทำง่ายไหม,อยากทำเกี๊ยวที่มีน้ำซุปหอมรากผักชี
แกงกะทิสายบัวปลาทูนึ่ง,"{'สายบัว': '300 กรัม', 'ปลาทูนึ่ง': '4 ตัว', 'น้ำตาลทรายหรือน้ำตาลมะพร้าว': '½ ช้อนโต๊ะ', 'หัวกระทิ': '1 ถ้วย', 'หางกะทิ': '1 ½ ถ้วย', 'หอมแดง': '5-6 หัว', 'พริกไทยเม็ด': '1 ช้อนโต๊ะ', 'กะปิ': '½ ช้อนโต๊ะ', 'เกลือ': '½ ช้อนโต๊ะ', 'น้ำมะขามเปียกคั้นข้นๆ': '2-3 ช้อนโต๊ะ'}",29.4,225.49,73.5,2441.01,"สายบัวลอกเปลือกออก หักเป็นท่อนๆ, 300 กรัม
ปลาทูนึ่งแกะเอาแต่เนื้อ, 4 ตัว
น้ำตาลทรายหรือน้ำตาลมะพร้าว½ ช้อนโต๊ะ
หัวกระทิ, 1 ถ้วย
หางกะทิ, 1 ½ ถ้วย
หอมแดง, 5-6 หัว
พริกไทยเม็ด, 1 ช้อนโต๊ะ
กะปิ½ ช้อนโต๊ะ
เกลือ½ ช้อนโต๊ะ
น้ำมะขามเปียกคั้นข้นๆ, 2-3 ช้อนโต๊ะ",แคลมาก,โปรตีนน้อย,ไขมันสูง,คาร์บน้อย,"สายบัว, ปลาทู, น้ำตาล, หัวกระทิ, หางกะทิ, หอมแดง, พริกไทย, กะปิ, เกลือ, น้ำมะขามเปียก",ของคาว,อยากใช้กะทิให้หมดๆ และพอดีได้สายบัวมา จะสามารถนำพวกนี้ไปประกอบอาหารอะไรบ้าง,อยากกินแกงกะทิที่ใช้ปลาทูแล้วใส่ผักพื้นบ้าน,มีเมนูแกงรสเบาๆ หอมกะทิแบบไทยๆ แนะนำไหม
แกงกะหรี่ญี่ปุ่น,"{'มันฝรั่ง': '4 ลูก', 'แครอท': '1 ลูก', 'หอมหัวใหญ่': '2 หัว', 'ก้อนแกงกะหรี่ สูตรญี่ปุ่น': '4 ก้อนเล็ก', 'น้ำตาลทราย': '3 ช้อนโต๊ะ', 'โชยุ': '2 ช้อนโต๊ะ', 'ซุปก้อน': '1 ก้อน', 'กระเทียมจีนขูด': '1 กลีบ', 'เนยจืด': '1 ช้อนชา', 'เกลือ': '1/4 ช้อนชา', 'พริกไทย': 'นิดหน่อย', 'นมจืด': '125 มล.', 'เนื้อหมูสไลด์': '3 ขีด'}",59.86,126.85,207.08,2209.41,"มันฝรั่ง, 4 ลูก
แครอท, 1 ลูก
หอมหัวใหญ่, 2 หัว
ก้อนแกงกะหรี่ สูตรญี่ปุ่น, 4 ก้อนเล็ก
น้ำตาลทราย, 3 ช้อนโต๊ะ
โชยุ, 2 ช้อนโต๊ะ
ซุปก้อน, 1 ก้อน
กระเทียมจีนขูด, 1 กลีบ
เนยจืด, 1 ช้อนชา
เกลือ, 1/4 ช้อนชา
พริกไทยนิดหน่อย
นมจืด, 125 มล.
เนื้อหมูสไลด์, 3 ขีด",แคลมาก,โปรตีนกลาง,ไขมันกลาง,คาร์บสูง,"มันฝรั่ง, แครอท, หอมหัวใหญ่, แกงกะหรี่, น้ำตาลทราย, โชยุ, ซุปก้อน, กระเทียม, เนยจืด, เกลือ, พริกไทย, นมจืด, เนื้อหมู",ของคาว,อยากกินแกงหะหรี่อร่อยๆ ใส่ มันฝรั่ง แครอท หอมหัวใหญ่เพิ่มความหวาน,อยากกินอะไรญี่ปุ่นๆ ใส่มันฝรั่ง หมู แครอท ,"อยากกินแกงกับข้าว รสไม่จัดมาก กินง่าย ให้ฟีลสบายท้อง ทำมาจาก มันฝรั่ง, แครอท, หอมหัวใหญ่, แกงกะหรี่"
แกงไก่ยอดมะพร้าวอ่อน,"{'เครื่องในและส่วนต่างๆของไก่': '', 'กะทิ': '', 'พริกแกง': '', 'น้ำตาลปี๊บ': '', 'คนอร์': '', 'พริกชี้ฟ้า': '', 'ใบโหระพา': '', 'น้ำเปล่า': '', 'ยอดมะพร้าวอ่อน': '', 'ซอสฝาเขียว': ''}",34.26,128.13,186.88,2037.73,"เครื่องในและส่วนต่างๆของไก่:
กะทิ:
พริกแกง:
น้ำตาลปี๊บ:
คนอร์:
พริกชี้ฟ้า:
ใบโหระพา:
น้ำเปล่า:
ยอดมะพร้าวอ่อน:
ซอสฝาเขียว:",แคลมาก,โปรตีนน้อย,ไขมันกลาง,คาร์บกลาง,"ไก่,  กะทิ,  พริกแกง,  น้ำตาลปี๊บ,  คนอร์,  พริกชี้ฟ้า,  ใบโหระพา,  น้ำเปล่า,  ยอดมะพร้าวอ่อน",ของคาว,อยากใช้ไก่ทุกส่วย โดยมีพริกแกงและเครื่อปรุงวัตถุดิบทั่วไปอยู่อล้ว,อยากได้แกงไก่รสหวานมันที่ใส่ผักพื้นบ้าน,เมนูแกงกะทิที่ใส่ยอดมะพร้าวนุ่มๆ ทำยังไง
แกงไก่เส้นร้อน(วุ้นเส้น) ,"{'ไก่': '1/2 ตัว', 'วุ้นเส้น': '100 กรัม', 'หัวหอม': '3 ช้อนโต๊ะ', 'ตะไคร้': '2 ช้อนโต๊ะ', 'พริกขี้หนูแห้ง': '6-8 เม็ด', 'พริกขี้หนูสีแดง': '4 เม็ด', 'เกลือ': '1 ช้อนโต๊ะ', 'น้ำปลา': '3 ช้อนโต๊ะ', 'ใบมะกรูด': '10 ใบ', 'ใบแมงลัก': 'ตามชอบ', 'ต้นหอม': '3 ต้น', 'น้ำเปล่า': '4 ถ้วย'}",66,242.45,83.49,2780.01,"ไก่, 1/2 ตัว
วุ้นเส้นขนาด, 100 กรัม1 ห่อ
หัวหอมหั่น, 3 ช้อนโต๊ะ
ตะไคร้ซอย, 2 ช้อนโต๊ะ
พริกขี้หนูแห้ง, 6-8 เม็ด
พริกขี้หนูสีแดง, 4 เม็ด
เกลือ, 1 ช้อนโต๊ะ
น้ำปลา, 3 ช้อนโต๊ะ
ใบมะกรูด, 10 ใบ
ใบแมงลักตามชอบ
ต้นหอมหั่นท่อน, 3 ต้น
น้ำเปล่า, 4 ถ้วย
ตะไคร้หั่นท่อน, 2 ต้น",แคลมาก,โปรตีนกลาง,ไขมันสูง,คาร์บน้อย,"ไก่, วุ้นเส้น, หัวหอม, ตะไคร้, พริกขี้หนู, เกลือ, น้ำปลา, ใบมะกรูด, ใบแมงลัก, ต้นหอม, น้ำเปล่า, ตะไคร้",ของคาว,แกงไก่อร่อยๆ ใส่วุ้นเส้น หั่นหอมละเอียด ตามใจชอบ สามารถทำเมนุอะไรได้บ้างคะ,มีเมนูต้มแบบไทยที่มีกลิ่นสมุนไพรไหม,"อยากกินอาหารที่ร้อนๆท้อง ทำมาจากของเหลือในบ้าน ตามนี้เลย ไก่, วุ้นเส้น, หัวหอม, ตะไคร้, พริกขี้หนู, เกลือ, น้ำปลา"
แกงขี้เหล็กปลาย่าง,"{'หางกะทิ': '2 ลิตร', 'หัวกะทิ': '500 มล.', 'เนื้อปลาย่าง': '300 กรัม', 'กะปิ': '1 ช้อนโต๊ะ', 'ตะไคร้': '2 ต้น', 'หัวหอมแดง': '4 หัว', 'กระเทียม': '1 หัว', 'พริกไทย': '1/2 ช้อนชา', 'ขมิ้น': '1 หัว', 'เกลือเม็ด': '1 ช้อนชา', 'ผงปรุงรสหมู': '1 ช้อนโต๊ะ', 'ใบขี้เหล็กอ่อน': '500 กรัม', 'พริกสด': '5 เม็ด'}",62.19,57.4,115.01,1225.4,"หางกะทิ:, 2 ลิตร
หัวกะทิ:, 500 มล.
เนื้อปลาย่าง:, 300 กรัม
กะปิ:, 1 ช้อนโต๊ะ
ตะไคร้:, 2 ต้น
หัวหอมแดง:, 4 หัว
กระเทียม:, 1 หัว
พริกไทย:, 1/2 ช้อนชา
ขมิ้น:, 1 หัว
เกลือเม็ด:, 1 ช้อนชา
ผงปรุงรสหมู:, 1 ช้อนโต๊ะ
ใบขี้เหล็กอ่อน:, 500 กรัม
พริกสด:, 5 เม็ด",แคลกลาง,โปรตีนกลาง,ไขมันน้อย,คาร์บกลาง,"หางกะทิ,  หัวกะทิ,  ปลา,  กะปิ,  ตะไคร้,  หัวหอมแดง,  กระเทียม,  พริกไทย,  ขมิ้น,  เกลือเม็ด,  ผงปรุงรส,  ใบขี้เหล็ก,  พริกสด",ของคาว,มีทั้งหางและหัวกะทิ เนื้อปลา และใบขี้เหล็ก และกะทิ ทำอะไรกินได้บ้าง,อยากทำแกงเมนูแกงที่ใช้ใบขี้เหล็กกับปลาย่าง,อยากได้อาหารขมๆ แบบไทยโบราณ
แกงเขียวหวานเนื้อพริกขี้หนู,"{'เนื้อวัว': 'ล้ำ', 'พริกแกงเขียวหวาน': '100 กรัม', 'กะทิ': '1/2 กก.', 'น้ำปลา': '4 ช้อนโต๊ะ', 'น้ำตาลตะโหนด': '1 ช้อนโต๊ะ', 'มะเขือเปราะ': '6 ลูก', 'มะเขือพวง': '', 'ใบโหระพา': '', 'พริกขี้หนู': '', 'ใบมะกรูดฉีก': ''}",57.73,126.72,124.58,1869.72,"เนื้อวัว(ล้ำ):, 500 กรัม
พริกแกงเขียวหวาน:, 100 กรัม
กะทิ:, 1/2 กก.
น้ำปลา:, 4 ช้อนโต๊ะ
น้ำตาลตะโหนด:, 1 ช้อนโต๊ะ
มะเขือเปราะ:, 6 ลูก
มะเขือพวง:
ใบโหระพา:
พริกขี้หนู:
ใบมะกรูดฉีก:",แคลกลาง,โปรตีนกลาง,ไขมันกลาง,คาร์บกลาง,"เนื้อวัว,  พริกแกง,  กะทิ,  น้ำปลา,  น้ำตาล,  มะเขือเปราะ,  มะเขือพวง,  ใบโหระพา,  พริกขี้หนู,  ใบมะกรูด",ของคาว, อยากกินแกงเขียวหวานอร่อยๆ ใช้เนื้อ น้ำตาลตะโหนด,อยากทำแกงที่เผ็ดมากๆ แบบใส่พริกขี้หนู,เมนูแกงเขียวหวานที่ใช้เนื้อวัว
แกงเขียวหวานลูกชิ้นปลากราย,"{'ลูกชิ้นปลากรายเม็ดจิ๋ว': '1/2 กก.', 'พริกแกงเขียวหวาน': '1 ขีด', 'กะทิ': '2 กล่อง', 'มะเขือเปาะ': '10-15 ลูก', 'กระชายฝอย': '1/2 ขีด', 'โหรภา': '1 กำ', 'พริกชี้ฟ้าแดง': '3 เม็ด', 'ใบมะกรูดฉีก': '5-6 ใบ', 'น้ำตาลปึก': '3 ก้อน', 'น้ำปลา': '1 ถ้วย', 'น้ำตาลทราย': '3-5 ชช'}",49.27,128.85,270.98,2440.65,"ลูกชิ้นปลากรายเม็ดจิ๋ว:, 1/2กก
พริกแกงเขียวหวาน:, 1ขีด
กะทิ:, 2กล่อง
มะเขือเปาะ:, 10-15ลูก
กระชายฝอย:, 1/2ขีด
โหรภา:, 1กำ
พริกชี้ฟ้าแดง:, 3เม็ด
ใบมะกรูดฉีก:, 5-6ใบ
น้ำตาลปึก:, 3 ก้อน
น้ำปลา:, 1ถ้วย
น้ำตาลทราย:, 3-5ชช",แคลมาก,โปรตีนน้อย,ไขมันกลาง,คาร์บสูง,"ลูกชิ้นปลากราย,  พริกแกงเขียวหวาน,  กะทิ,  มะเขือเปาะ,  กระชาย,  โหระพา,  พริกชี้ฟ้า,  ใบมะกรูด,  น้ำตาล,  น้ำปลา,  น้ำตาลทราย",ของคาว,ได้ลูกชิ้นปลากรายชื่อกังอยากเามาทำแกงเขียวหวานทำเมนูอะไรดี,แกงเขียวหวานลูกชิ้นปลากรายใส่มะเขือกับกะทิทำยังไงให้อร่อย,วิธีทำแกงเขียวหวานลูกชิ้นปลากรายใส่ใบมะกรูดหอม ๆ
แกงคั่วเห็ดเผาะใส่หน่อไม้ดอง,"{'เห็ดเผาะสด': '1 ลิตรเล็ก (ประมาณ 300 กรัม)', 'หน่อไม้ดอง': '100 กรัม', 'ชะอมและชะพลู': 'ตามชอบ', 'หัวกะทิ': '500 มิลลิกรัม', 'พริกแกงเผ็ด': 'แล้วแต่ชอบ', 'เครื่องปรุงรส (น้ำปลา, น้ำตาล)': 'ตามชอบ'}",24.32,15.39,6.45,261.59,"เห็ดเผาะสด (อ่อน/แก่ตามชอบ):, 1 ลิตรเล็ก (ประมาณ 300 กรัม
หน่อไม้ดอง:, 100 กรัม
ชะอมและชะพลู (ถ้ามี): ตามชอบ
หัวกะทิ:, 500 มิลลิกรัม
พริกแกงเผ็ด: แล้วแต่ชอบ
เครื่องปรุงรส (น้ำปลา
น้ำตาล): ตามชอบ",แคลน้อย,โปรตีนน้อย,ไขมันน้อย,คาร์บน้อย,"เห็ด,  หน่อไม้,  ชะอม, หัวกะทิ,  พริกแกง",ของคาว,ได้เห็ดเผาะสด หน่อไม้ดอง ชะอมและชะพลู ทำอะไรกินได้ดี อยากได้ที่ไขมันน้อย,แกงคั่วเห็ดเผาะกับหน่อไม้ดองต้องใส่อะไรบ้าง,อยากทำแกงคั่วเห็ดเผาะรสจัดใส่หน่อไม้ดองกับชะอม
แกงจืดไข่น้ำหมูสับ,"{'หมูสับ': '150 กรัม', 'พริกไทยป่น': '¼ ช้อนชา', 'ซอสเห็ดหอม': '1 ช้อนชา', 'ซีอิ๊วขาว': '2 ช้อนชา', 'น้ำปลา': '2 ช้อนชา', 'ไข่ไก่': '3 ฟอง', 'น้ำมันพืชสำหรับทอด': '', 'รากผักชีทุบ': '1 ราก', 'ผักกาดขาวหั่นชิ้น': '50 กรัม', 'กระเทียมทุบ': '3 กลีบ', 'พริกไทยเม็ด': '½ ช้อนชา', 'เกลือป่นหยาบ': '⅛ ช้อนชา', 'น้ำเปล่า': '3 ถ้วยตวง', 'ต้นหอมหั่นท่อน': '2 ช้อนโต๊ะ', 'ผักชีหั่นท่อน': '2 ช้อนโต๊ะ', 'กระเทียมเจียวสำหรับโรยหน้า': ''}",99.31,281.76,123.55,1427.28,"หมูสับ, 150 กรัม
พริกไทยป่น ¼ ช้อนชา
ซอสเห็ดหอม, 1 ช้อนชา
ซีอิ๊วขาว ½ ช้อนชา
น้ำปลา ¼ ช้อนชา
วัตถุดิบไข่
ไข่ไก่, 3 ฟอง
น้ำปลา, 1½ ช้อนชา
น้ำมันพืชสำหรับทอด วัตถุดิบแกงจืด

รากผักชีทุบ, 1 ราก
ผักกาดขาวหั่นชิ้น, 50 กรัม
กระเทียมทุบ, 3 กลีบ
พริกไทยเม็ด ½ ช้อนชา
ซีอิ๊วขาว, 2 ช้อนชา
น้ำปลา, 2 ช้อนชา
เกลือป่นหยาบ ⅛ ช้อนชา
น้ำเปล่า, 3 ถ้วยตวง
ต้นหอมหั่นท่อน, 2 ช้อนโต๊ะ
ผักชีหั่นท่อน, 2 ช้อนโต๊ะ
กระเทียมเจียวสำหรับโรยหน้า",แคลกลาง,โปรตีนกลาง,ไขมันสูง,คาร์บกลาง,"หมูสับ, พริกไทยป่น, ซอสเห็ดหอม, ซีอิ๊วขาว, น้ำปลา, ไข่ไก่, น้ำปลา, น้ำมัน, รากผักชี, ผักกาดขาว, กระเทียม, พริกไทย, ซีอิ๊วขาว, น้ำปลา, เกลือป่นหยาบ, น้ำเปล่า, ต้นหอม, ผักชี, กระเทียมเจียว",ของคาว,อาหารง่ายๆ เด็กกินได้ ผู้ใหญ่กินดี ใช้หมูสับ ไข่ ผักกาด ผักชี และเครื่องปรุงต่างๆ,แกงจืดไข่น้ำหมูสับใส่ผักอะไรให้อร่อย,เมนูไข่น้ำหมูสับทำง่าย ๆ กับผักกาดขาวมีสูตรไหม
แกงจืดไข่ม้วนไส้ผักกาดขาวหมูสับ,"{'ไข่ไก่': 4, 'หมูสับ': 200, 'ต้นหอมซอย': 1, 'ต้นหอมเด็ดให้เป็นเส้น': 6, 'แครอท': 1, 'ผักกาดขาว': 5, 'ผักกาดหอม': 4, 'ผักชีตกแต่ง': 1, 'ซุปก้อนรสหมู': 1, 'ซีอิ๊วขาว': 3, 'น้ำเปล่า': 1}",60.93,155.9,0,1646.82,"ไข่ไก่:, 4 ฟอง
หมูสับ:, 200 กรัม
ต้นหอมซอย:, 1 ต้น
ต้นหอมเด็ดให้เป็นเส้น:, 6 เส้น
แครอท:, 1 หัว
ผักกาดขาว:, 5 ใบ
ผักกาดหอม:, 4 ใบ
ผักชีตกแต่ง:, 1 ต้น
ซุปก้อนรสหมู:, 1 ก้อน
ซีอิ๊วขาว:, 3 ช้อนโต๊ะ
น้ำเปล่า:, 1 ลิตร",แคลกลาง,โปรตีนกลาง,ไขมันกลาง,คาร์บน้อย,"ไข่ไก่,  หมูสับ,  ต้นหอมซอย,  ต้นหอม,  แครอท,  ผักกาดขาว,  ผักกาดหอม,  ผักชี, คนอร์,  ซีอิ๊วขาว,  น้ำเปล่า",ของคาว,อาหารง่ายๆ คนป่วยดินได้ เด็กกินดี อยากจะทำเป็นแกงจืดใส่ไข่ หมูสับ แครอท ผักกาด คาร์บน้อย,วิธีทำแกงจืดไข่ม้วนไส้หมูสับใส่ผักกาดขาว	,อยากทำเมนูแกงจืดไข่ม้วนกับผักและหมูสับให้เด็กกิน
แกงจืดผักกาดขาวเต้าหู้หมูสับ,"{'หมูสับปรุงรสสำเร็จ': '4 ขีด', 'เต้าหู้ไข่': '2 หลอด', 'ผักกาดขาว': '2 หัว (ครึ่งกิโล)', 'คนอร์ซุปรสหมูก้อน': '2 ก้อน'}",34.24,15.48,32.01,404.32,"หมูสับปรุงรสสำเร็จ เป็นแพคจาก ซุปเปอร์มาร์เก็ต:, 4 ขีด
เต้าหู้ไข่ :, 2 หลอด
ผักกาดขาว:, 2 หัว ครึ่งกิโล
คนอร์ซุปรสหมูก้อน:, 2 ก้อน",แคลน้อย,โปรตีนน้อย,ไขมันน้อย,คาร์บน้อย,"หมูสับ,  เต้าหู้ไข่ ,  ผักกาดขาว,  คนอร์",ของคาว,อยากทำอาหารง่ายๆ ใส่เต้าหู้ ใส่ผักกาด หมูสับเพื่อให้รสชาติมันถั่วถึง ,แกงจืดเต้าหู้หมูสับใส่ผักกาดขาวทำยังไง,เมนูแกงจืดหมูสับใส่เต้าหู้ไข่กับผักกาดขาว
แกงจืดหัวไชโป๊วหวาน,"{'หัวไชโป๊วหวานแบบหัว': '200 กรัม', 'กระดูกหมู': '200 กรัม', 'น้ำเปล่าหรือน้ำซุป': '1.5 ลิตร', 'กระเทียม': '7 กลีบ', 'รากผักชีบุบ': '2 ราก', 'พริกไทยเม็ด': '10 เม็ด', 'พริกไทยป่น': '1/2 ช้อนชา', 'เกลือป่น': '1/2 ช้อนโต๊ะ', 'คนอร์ซุปหมูก้อน': '1 ก้อน'}",52.99,36.21,85.91,881.49,"หัวไชโป๊วหวานแบบหัว:, 200 กรัม
กระดูกหมู:, 200 กรัม
น้ำเปล่าหรือน้ำซุป:, 1.5 ลิตร
กระเทียม:, 7 กลีบ
รากผักชีบุบ:, 2 ราก
พริกไทยเม็ด:, 10 เม็ด
พริกไทยป่น:, 1/2 ช้อนชา
เกลือป่น:, 1/2 ช้อนโต๊ะ
คนอร์ซุปหมูก้อน:, 1 ก้อน",แคลน้อย,โปรตีนกลาง,ไขมันน้อย,คาร์บน้อย,"หัวไชโป๊ว,  กระดูกหมู,  น้ำเปล่า,  กระเทียม,  รากผักชี,  พริกไทย,  พริกไทย,  เกลือ,  คนอร์",ของคาว,อยากกินอาหารที่ทำมาจาากหัวไชโป๊ว กินง่าย คล่องคอ ใช้กระดูกหมู ,แกงจืดหัวไชโป๊วใส่กระดูกหมูรสหวานหอม,ทำแกงจืดหัวไชโป๊วใส่รากผักชีกับพริกไทยแบบไทยโบราณ
แกงซี่โครงหมูใส่วุ้นเส้น,"{'ซี่โครงหมู': '320 กรัม', 'วุ้นเส้น': '40 กรัม', 'ใบมะกรูดฉีก': '3-4 ใบ', 'หอมแดงทุบ': '3 หัว', 'ตะไคร้หั่นท่อน': '1 ต้น', 'น้ำปลา': '3ช้อนโต๊ะ', 'น้ำตาลปี๊บ': '1/2 ช้อนโต๊ะ', 'ใบแมงลัก': '1 ถ้วย', 'ต้นหอมหั่นท่อน': '2 ต้น', 'น้ำเปล่า': '3ถ้วย', 'น้ำมันพืช': 'เล็กน้อย', 'เกลือป่น': 'เล็กน้อย'}",33.79,319.46,166.07,3674.58,"ซี่โครงหมู:, 320 กรัม
วุ้นเส้น:, 40 กรัม
ใบมะกรูดฉีก:, 3-4 ใบ
หอมแดงทุบ:, 3 หัว
ตะไคร้หั่นท่อน:, 1 ต้น
น้ำปลา:, 3ช้อนโต๊ะ
น้ำตาลปี๊บ:, 1/2 ช้อนโต๊ะ
ใบแมงลัก:, 1 ถ้วย
ต้นหอมหั่นท่อน:, 2 ต้น
น้ำเปล่า:, 3ถ้วย
น้ำมันพืช: เล็กน้อย
เกลือป่น: เล็กน้อย
**เครื่องพริกแกง**:
พริกแห้ง:, 7 เม็ด
พริกแดงจินดา:, 6 เม็ด
เกลือ:, 1/2 ช้อนชา
ข่าซอย:, 1 ช้อนโต๊ะ
ตะไคร้ซอย:, 3 ต้น
หอมแดง:, 4 หัว",แคลมาก,โปรตีนน้อย,ไขมันสูง,คาร์บกลาง,"ซี่โครงหมู,  วุ้นเส้น,  ใบมะกรูด,  หอมแดง,  ตะไคร้,  น้ำปลา,  น้ำตาลปี๊บ,  ใบแมงลัก,  ต้นหอม,  น้ำเปล่า,  น้ำมันพืช, เกลือ,  พริกแห้ง,  พริกแดง,  เกลือ,  ข่า,  ตะไคร้,  หอมแดง",ของคาว,ใมีซี่โครงหมู วุ้นเส้น หอมแดง พริก น้ำปลา น้ำตาลปิ๊ป เหลืออยู่ในตู้เย็น จะทำอะไรกินได้บ้าง,แกงซี่โครงหมูใส่วุ้นเส้นกับใบมะกรูดทำยังไง,วิธีทำแกงเผ็ดซี่โครงหมูใส่วุ้นเส้นใส่แมงลักหอม ๆ
