ชื่ออาหาร,ingredient_full_json,ระดับแคลอรี่,ระดับโปรตีน,ระดับไขมัน,ระดับคาร์บ,วัตถุดิบ_ไม่มีปริมาณ,query1 อยากกินอาหารครบ,query2,query3
แกงเขียวหวานไก่,"""น้ำพริกแกงเขียวหวาน(สำเร็จรูป): 
กะทิ (กล่องใหญ่1 กล่อง+กล่องเล็กสุด 1 กล่อง): 
ไก่สด+เครื่องใน: 
เลือดไก่(ก้อน): 
มะเขือเปราะ: 
มะเขือพวง: 
ใบโหระพา: 
พริกชีฟ้าสีแดง: 
พริกขี้หนูสด: 
น้ำตาล:""",แคลกลาง,โปรตีนกลาง,ไขมันน้อย,คาร์บสูง,"พริกแกง,  กะทิ, ไก่, เลือดไก่,  มะเขือเปราะ,  มะเขือพวง,  ใบโหระพา,  พริกชีฟ้า,  พริกขี้หนูสด,  น้ำตาล",พริกแกงเขียวหวาน กะทิ ไก่ ใบโหระพา รสชาติดี กินแล้วอร่อย ไขมันน้อย,อยากกิน แกงเขียวหวาน เพราะกับไก่ชิ้นเบิ้มๆ มีมะเขือพวงและมะเขือเปราะ,อยากอีสพริกแกงอร่อยๆ ใส่กะทิ ใส่ไก่ มะเขือ รสชาติอร่อย
แกงส้มมะละกอปลากระป๋อง,"""มะละกอออกสีแต้มๆ ลูกกลางๆ: 1ลูก
ปลากระป๋อง: 1กระป๋อง
น้ำตาลปี๊บ: 2ทัพพี
น้ำส้มมะขาม ตามความชอบ: 1ทัพพี
น้ำปลา แล้วแต่ชอบ: 
น้ำเปล่า: 2ถ้วยตวง
พริกแกงส้ม: 1ทัพพี
ผักชี:""",แคลน้อย,โปรตีนน้อย,ไขมันน้อย,คาร์บกลาง,"มะละกอ,  ปลากระป๋อง,  น้ำตาลปี๊บ,  น้ำมะขาม,  น้ำปลา,  น้ำเปล่า,  พริกแกง,  ผักชี",อยากกินแกงส้ม มะละกอ ปลากระป๋อง รสชาติดี โปรตีนน้อย ไขมันน้อย,อยากอีส แกงร้อนๆ เปรี้ยวๆ เผ็ดหน่อย มีมะละกอ ปลากระป๋อง หอมแดง,อยากอีส แกงไทยเปรี้ยวแซ่บๆ มีปลากระป๋องกับผักหวานๆ อย่างมะละกอ
พริกแกงเหลือง (แกงส้มใต้),"""พริกจินดาแห้ง(ใช้พริกขี้หนูสดได้): 30 เม็ด
กระเทียมไทย: 30 กลีบ
ขมิ้นยาว 2 นิ้ว: 1 ชิ้น
กะปิ: 1 ช้อนโต๊ะ
เกลือ: 1 ช้อนชา""",แคลน้อย,โปรตีนน้อย,ไขมันน้อย,คาร์บน้อย,"พริก,  กระเทียมไทย,  ขมิ้นยาว, กะปิ,  เกลือ",มี พริกจินดาแห้ง กระเทียม ขมิ้น เอามาทำอะไรดี ไขมันน้อย ,อยากอีส แกงใต้ๆ เผ็ดร้อนจัดจ้านแบบมีพริก ขมิ้น กะปิ หอมแรงๆ เค็มๆนัวๆ,อยากอีส แกงสีเหลืองแบบใต้ รสเผ็ดจี๊ด มีกลิ่นขมิ้นกับกะปิ หอมกระเทียมแรงๆ
น้ำพริกกะปิสูตรอร่อยเด็ด,"""กระเทียม: 1 ช้อนโต๊ะ
กะปิ: 1 ช้อนโต๊ะ
น้ำตาลปี๊บ: 1/2 ช้อนโต๊ะ
พริกขี้หนูสวน: 20 เม็ด
มะเขือพวง: 1 ช้อนโต๊ะ
น้ำมะนาวคั้นสด: 4 1/2 ช้อนโต๊ะ""",แคลน้อย,โปรตีนน้อย,ไขมันน้อย,คาร์บกลาง,"กระเทียม,  กะปิ,  น้ำตาลปี๊บ,  พริกขี้หนู,  มะเขือพวง,  น้ำมะนาว",กระเทียม กะปิ น้ำตาล พริกขี้หนู​ ทำอะไรได้บ้าง ที่ไขมันน้อย,,มีกะปิ กับพริกเหลือในตู้เย็นทำอะไรกินได้บ้าง
แกงส้มชะอมกุ้งพริกแกงใต้,"""กุ้ง: 5 ขีด
ชะอม: 1 กำ
พริกแกงส้มใต้: 2-3 ช้อน
ไข่ไก่: 4 ฟอง
น้ำตาลปีบ: 1-2 ช้อน
น้ำปลา: ตามรสชาติที่ชอบ
น้ำมัน: 1 ถ้วย
น้ำมะขามเปียก: ตามรสชาติที่ชอบ""",แคลมาก,โปรตีนกลาง,ไขมันกลาง,คาร์บสูง,"กุ้ง,  ชะอม,  พริกแกง,  ไข่ไก่,  น้ำตาลปีบ,  น้ำปลา, น้ำมัน,  น้ำมะขามเปียก",อยากกินอาหารรสชาติ รสเปรี้ยวนำ ตามด้วยเผ็ด มี กุ้ง  ไข่ ผักชะอม รสชาติดี แคลมาก ,อยากกินแกงส้มรสเปรี้ยวๆ ใส่ผักบุ้งกับกุ้งตัวโตๆ,อยากกินแกงส้มใต้รสแซ่บ มีชะอมไข่นุ่มๆ กุ้งเด้งๆ หอมพริกแกง น้ำมะขามนำๆ
ยำปลากระป๋องแบบบ้าน,"""ปลากระป๋อง: 3 กระป๋อง
หอมแดงซอย: 2 ช้อนโต๊ะ
พริกขี้หนู: 2 กรัม
มะนาว: 2 ลูก""",แคลน้อย,โปรตีนน้อย,ไขมันน้อย,คาร์บน้อย,"ปลากระป๋อง,  หอมแดงซอย,  พริกขี้หนู,  มะนาว",อยากกินอะไรเปร้ิยวๆ เผ็ดๆ เรามีปลากระป๋อง หอมแดง พริกขี้หนู มะนาว ทำเมนูอะไรได้บ้าง แคลน้อย กินดี,มีปลากระป๋องเหลือเยอะมากในตู้เย็น อยากกินยำแซ่บๆ อร่อยๆ ใส่พริก มะนาว ,ในตู้เย็นมีปลากระป๋อง พริก ข่า ตะไคร้ มะกรูด ทำอะไร กินได้บ้าง
น้ำพริกกะปิ ปลาทูทอด,"""น้ำพริกกะปิ: 
กระเทียม: 4 กลีบใหญ่
พริก: 6 เม็ด
น้ำตาลแว่น/น้ำตาลมะพร้าว: 1.5 แว่น
กะปิอย่างดี: 1 ช้อนพูนๆ
มะนาว: 1.5 ลูกเล็ก
ผักต้ม: 
ถั่วฝักยาว: 5 ต้น
ผักบุ้ง: 4 ต้น
น้ำเปล่า: สำหรับลวก
น้ำเย็นจัด: สำหรับแช่ผัก
ปลาทูทอด: 
ปลาทูขนาดกลาง: 2 ตัว
น้ำมันปาล์ม: 1 ถ้วย""",แคลมาก,โปรตีนกลาง,ไขมันกลาง,คาร์บสูง,"น้ำพริก,  กระเทียม,  พริก,  น้ำตาลมะพร้าว,  กะปิ,  มะนาว,  ผัก,  ถั่วฝักยาว,  ผักบุ้ง,  น้ำเปล่า, ปลาทูทอด,  น้ำมัน",อยากกินอาหารเคียงกับปลาทูตัวใหญ่ๆ ที่บ้านที พริก ประเทียม พริกไทย กะปิ มะนาว ผักต้ม ,อยากอีส อะไรแซ่บๆ เค็มมัน มีพริก กระเทียม กะปิ มะนาว ปลาทูทอด,
แกงเขียวหวานไก่ใส่ฟัก,"""สะโพกไก่: 2 ชิ้น
ฟักแก่: 3 ขีด
ตีนไก่: 2 ขีด
พริกแกงเขียวหวาน: 1.5 ขีด
กระทิสด: 1 โล
มะเขือ: 3-4 ลูก
ใบโหระพา: 1 กำเล็ก
พริกชี้ฟ้า: 4-5 เม็ด
น้ำปลา: 2 ช้อน
น้ำตาลปีบ: 1/2 ช้อน
มะเขือพวง: 1 ขีด""",แคลมาก,โปรตีนกลาง,ไขมันน้อย,คาร์บสูง,"สะโพกไก่,  ฟัก,  ตีนไก่,  พริกแกง,  กะทิ,  มะเขือ,  ใบโหระพา,  พริกชี้ฟ้า,  น้ำปลา,  น้ำตาลปีบ,  มะเขือพวง",อยากกินแกง รสเผ็ด เค็ม มัน หวานจากกะทิ มีไก่เยอะเยอะ ไขมันน้อยๆขมันน้อย,อยากอีส อาหารกะทิเข้มข้น หอมเครื่องแกง มีไก่ มะเขือ ใบโหระพา พริกแดง,
ไข่เจียวหมูสับหน้ากรอบ,"""เนื้อหมูสับ: 2-3ขีด
ไข่ไก่: 5 ฟอง
น้ำปลา: ตามชอบ
ซอสหอยนางรม: ตามชอบ
น้ำตาล: ตามชอบ""",แคลกลาง,โปรตีนน้อย,ไขมันน้อย,คาร์บสูง,"หมู,  ไข่ไก่,  น้ำปลา, ตามชอบ, ซอสหอยนางรม, น้ำตาล",อาหารง่ายๆ บ้านๆ ทำงจากไข่ หมูสับ ไขมันน้อย รสชาติดี,,มีไข่เหลือเยอะมากในตู้เย็นแบะก็ หมู  แครอท หอมหัวใหญ่ อยากกินอาหารง่ายๆ อร่อยๆ เด็กกินได้ 
เทคนิค กะเพราหมูสับ แบบแห้ง อร่อยกว่าร้าน,"""หมูสับ: 1 ถ้วย
พริกเขียว + กระเทียม สับ: 1 ถ้วย
ใบกะเพรา: 2-3 ต้น
ซีอิ๊วขาว: 2-3 ช้อนชา
น้ำปลา: 1 ช้อนชา
พริกไทย: 2-3 เหยาะ""",แคลกลาง,โปรตีนน้อย,ไขมันน้อย,คาร์บกลาง,"หมูสับ,  พริกเขียว, กระเทียม,  ใบกะเพรา,  ซีอิ๊วขาว,  น้ำปลา,  พริกไทย",อยากกินอาหารเผ็ด เค็ม มีหมูสับ และใช้ใบกะเพราให้หมด ไขมันนน้อย, มีหมูสับ พริกแดง พริกเขียว พริกหวาน น้ำปลา ซอสหอย กระเทียม กล้วย อยากทำอาหารคาว อร่อยๆ ,อยากกินกะเพราหมูสับ แซ่บๆ ใส่พริกเยอะๆ
แกงเขียวหวานไก่ผัดแห้ง,"""เนื้อไก่หั่นเป็นชิ้น: 140 กรัม
มะเขือเปราะหั่น: 200 กรัม
มะเขือพวง: 2 ช้อนโต๊ะ
พริกแดงหั่นแฉลบ: 4 เม็ด
ใบโหระพา: 1 ถ้วย
พริกแกงเขียวหวาน: 2 ช้อนโต๊ะ
น้ำตาลปี๊บ: 1 /2ช้อนโต๊ะ
ใบมะกรูดฉีก: 4-5ใบ
นมข้นจืด.: 6 ช้อนโต๊ะ
น้ำมันพืช.: เล็กน้อย
น้ำเปล่า: เล็กน้อย""",แคลมาก,โปรตีนน้อย,ไขมันกลาง,คาร์บสูง,"ไก่,  มะเขือเปราะ,  มะเขือพวง,  พริกแดง,  ใบโหระพา,  พริกแกง,  น้ำตาลปี๊บ,  ใบมะกรูด,  นมข้นจืด,  น้ำมัน, น้ำเปล่า",มีไก่ มะเขือ อยากกินอาหารที่ โปรตีนน้อย รสชาติดี ,"มี มะเขือพวง,  พริกแดง,  ใบโหระพา,  พริกแกง,  น้ำตาลปี๊บ,  ใบมะกรูด,  นมข้นจืด,  น้ำมัน, น้ำเปล่า ทำอะไรได้บ้าง",อยากกินอาหารอิ่มๆ ตอนนี้ในตู้เย็นมี หมู ไก่ ปลา มะเขือ  ทำอะไรกินได้บ้าง
ขนมจีนน้ำยาปลาทู,"""ปลาทูนึงแกะเอาแต่เนื้อ: 2 ตัว
น้ำพริกแกงเผ็ดใต้: 100 กรัม
กะทิ: 250 กรัม
ลูกชิ้นปลา: 6-7 ลูก
กระชาย ล้างให้สะอาด ตำให้ละเอียด: 100 กรัม
ขนมจีน: 
ผักเครื่องเคียงตามชอบ: 
น้ำตาลมะพร้าว: 2 ช้อนโต๊ะ
น้ำปลา: 2 ช้อนโต๊ะ""",แคลกลาง,โปรตีนกลาง,ไขมันน้อย,คาร์บสูง,"ปลาทู,  พริกแกง,  กะทิ,  ลูกชิ้นปลา,  กระชาย,  ขนมจีน,  ผัก,  น้ำตาลมะพร้าว,  น้ำปลา",มีเส้นขนมจีน กะทิ พริกแกง กระชาย ปลาทู ทำอาหารไขมันน้อยได้ไหม,อยากอีสอาหารใต้ๆ ใส่พริกแกงรสจัด มีปลาทูเป็นตัวหลัก,อยากกินอะไรกับเส้นขนมจีน ใส่ปลาทู กระชาย และลูกชิ้นปลา
แกงส้มปลาหน่อไม้ดอง,"""ปลาทับทิม: 1 ตัว
เครื่องแกงส้ม: 1 ขีด
หน่อไม้ดอง: 1/2 กก.
กะปิ: 1 ช้อนพูน
น้ำตาลมะพร้าว: 1 ช้อนโต๊ะ
เกลือ: 1 ช้อนชา
น้ำปลา: 1 ช้อนโต๊ะ
น้ำมะขามเปียก: 1 ถ้วย
มะนาว: 1.5 ลูก""",แคลกลาง,โปรตีนน้อย,ไขมันน้อย,คาร์บสูง,"ปลา,  พริกแกง,  หน่อไม้,  กะปิ,  น้ำตาลมะพร้าว,  เกลือ,  น้ำปลา,  น้ำมะขามเปียก,  มะนาว",อยากกินอาหารไขมันน้อย มีปลาตัวใหญ่ พร้อมเครื่องแกง มะนาว กะปิ หน่อไม้ดอง ไขมันน้อย,มีปลา พริกแกง กะปิ น้ำตาลมะพร้าว ทำอาหารรสแซ่บอะไรดี,อยากอีสเมนูปลารสจัดจ้านมีหน่อไม้และพริกแกงแบบใต้
พริกแกงมัสมั่น​,"""เม็ดผักชีคั่วป่น: 1+1/2 ช้อนชา
เม็ดยี่หร่าคั่วป่น: 1/2 ช้อนชา
เม็ดกระวานคั่วป่น​ (แกะเอาเฉพาะเม็ดที่อยู่ด้านใน)​: 4 เม็ด
กานพลูคั่วป่น: 4 ดอก
ลูกจันทน์​คั่วป่น: 1 ลูก
ดอกจันทน์​คั่วป่น: 1 ดอก
อบเชยท่อน​ 1 นิ้ว​ คั่วป่น: 1 ท่อน
พริกชี้ฟ้าแช่น้ำซับแห้ง: 10 เม็ด
เกลือสมุทร​: 1 ช้อนชา
ข่าแก่หั่นละเอียด: 1 ช้อนโต๊ะ​
ตะไคร้หั่นละเอียด: 2 ต้น
ผิวมะกรูด: 1 ช้อนชา
กระเทียม​ไทย: 20​ กลีบ
หอมแดง: 5 หัว
กะปิห่อใบตองย่างจนหอม: 1 ช้อนชา
พริกไทยขาวเม็ดคั่วป่น: 1/2 ช้อนชา""",แคลมาก,โปรตีนสูง,ไขมันกลาง,คาร์บสูง,"เม็ดผักชี,  เม็ดยี่หร่า,  เม็ดกระวาน,  กานพลู,  ลูกจันทน์​,  ดอกจันทน์​,  อบเชย, พริกชี้ฟ้า,  เกลือสมุทร​,  ข่าแก่,  ตะไคร้,  มะกรูด,  กระเทียม​,  หอมแดง,  กะปิ,  พริกไทยขาว",มีเครื่องเทศต่างๆ เข่น ดอกจันทร์ ผิวมะกรูด กระเทียม เม็ดผักชี ทำอะไรได้บ้าง ที่ไขมันน้อย, อยากอีสอาหารไทยที่มีกลิ่นเครื่องเทศอย่าง เม็ดผักชี ยี่หร่า ดอกจันทร์,มีเครื่องเทศหลากหลาย พริกแห้ง หอมแดง กะทิ จะทำแกงอะไรดี
ขนมครกสิงคโปร์,"""แป้งสาลี: 2ถ้วย
แป้งมัน: 1ถ้วย
นมสดรสจืด: 1ถ้วย
ใบเตย12ใบแก่ๆ คั้นน้ำกรองกาก: 1ถ้วย
ผงฟู: 2ช้อนกาแฟพูนๆ
เกลือ: 1ช้อนกาแฟพูนๆ
น้ำตาลทราย: 1ถ้วย
น้ำมันพืช: 1ช้อนกาแฟ
ไข่ไก่: 2ฟอง""",แคลมาก,โปรตีนน้อย,ไขมันกลาง,คาร์บสูง,"แป้งสาลี,  แป้งมัน,  นม,  ใบเตย, ผงฟู,  เกลือ,  น้ำตาลทราย,  น้ำมันพืช,  ไข่ไก่",อยากกินขนมอร่อยๆ นุ่มๆ มีแป้ง ใบเตย น้ำตาลพืช ,มีแป้ง นม ใบเตย เกลือ น้ำตาล ทำขนมอะไรได้บ้าง,อยากกินขนมใบเตยนุ่มๆ หอมกะทิ หวานน้อย อร่อย 
