ชื่ออาหาร,วิธีทำ
ไข่เป็ดต้มยางมะตูม,"1
ล้างไข่เป็ดที่จะต้มให้สะอาด
2
ตั้งหม้อ กะปริมาณน้ำให้ท่วมไข่
3
ตั้งน้ำให้เดือดปุดๆใส่เกลือลงไป
4
พอน้ำเดือดใส่ไข่ลงไปจับเวลา 7
5
เตรียมน้ำเย็นใส่กะละมังไว้
6
ครบ7นาทีตักไข่ออกใส่กะละมังที่เตรียมน้ำเย็นไว้ ทุบๆเปลือกไข่ค่อยๆปอก ผ่าไข่ออกมาจะได้ไข่ต้มยางมะตูมเยิ้มๆ
เคล็ดลับ: หากตักไข่ออกมาใส่น้ำที่เตรียมไว้ยังร้อนอยู่ให้เปลี่ยนน้ำใหม่อีกทีจนไข่เย็นทั้งฟอง"
ไข่ต้มดองซีอิ๊ว,"ตั้งน้ำสะอาดให้เดือด จากนั้นนำไข่ไก่ลงไปต้ม จับเวลา 7 นาที
นำไข่ไก่ขึ้นมาน็อกในน้ำเย็นแล้วปอกเปลือก ตั้งน้ำสะอาดให้ร้อน นำซีอิ๊วญี่ปุ่น และมิรินใส่ลงไป
รอจนน้ำดองเดือด ตั้งพักไว้ให้เย็น แล้วนำไข่ต้มลงไปดอง
โรยด้วยพริกจินดาเขียวและแดงซอย กระเทียมซอย ดองไว้ประมาณ 3 ชั่วโมง นำไข่ดองมาจัดใส่ถ้วยเสิร์ฟ โรยด้วยงาขาวก่อนจัดเสิร์ฟ "
ไชโป๊วผัดไข่,"1
ล้างหัวไชโป๊วพอประมาณ เพื่อล้างความเค็มบางส่วน ผึ่งให้สะเด็ดน้ำ
2
ตั้งกระทะใส่น้ำมัน ใช้ไฟกลาง ๆ รอจนน้ำมันร้อนใส่กระเทียมลงไปเจียวให้หอม
3
ตามด้วยไชโป๊วลงไปผัดให้เข้ากัน ผัดจนไชโป๊วสุกพอง เปลี่ยนสีเล็กน้อย
4
ชิมไชโป๊ว...หากไม่หวานให้เติมน้ำตาลทรายลงไปเล็กน้อย และหากรสชาติยังเค็มไม่พอ ให้เหยาะซีอิ๊วขาวลงไป
5
จากนั้นตอกไข่ใส่ลงตรงกลาง รอให้ไข่สุก ค่อยกลับไข่อีกด้าน แล้วผัดไปมาจนไข่สุก...จัดใส่จานพร้อมรับประทานได้เลยค่ะ "
ข้าวผัดอเมริกันไข่ข้น,"หมักน่องไก่มาด้วยเกลือพริกไทย นวดให้เข้าเนื้อ
หั่นปลายไส้กรอกเป็นกากบาทเตรียมไว้
นำน่องไก่ที่หมักไว้มาคลุกกับแป้งทอดกรอบ เคาะเศษแป้งออกก่อนทอดเล็กน้อย
ทอดไก่และไส้กรอกไปให้สุกกรอบ แล้วนำขึ้นพักไว้ ตั้งกระทะ ใส่เนยจืด กระเทียม และหอมหัวใหญ่ลงไปผัดจนหอมหัวใหญ่เริ่มสุกใส
ใส่ข้าวหอมมะลิแช่เย็นลงไปผัด ใช้ตะหลิวบี้ ๆ กด ๆ ข้าวให้กระจายตัว ผัดให้เนยเคลือบเมล็ดข้าวทั่ว ๆ
ปรุงรสด้วย ซอสมะเขือเทศ ซีอิ๊วขาว น้ำตาลทราย เกลือ และพริกไทย ผัดให้ทุกอย่างเข้ากันดี
ใส่ผักสามสี และลูกเกด คลุกเคล้าให้เข้ากันแล้วยกขึ้นจากเตา ตอกไก่ใส่ชามผสม ปรุงรสด้วยเกลือ และพริกไทย ตีผสมให้เข้ากัน
จากนั้นใส่นมสดแล้วตีผสมอีกครั้ง
ตั้งกระทะใช้ไฟอ่อน ใส่เนยลงไป รอจนเนยละลาย
ใส่ส่วนผสมไข่ที่ตีไว้ลงไป คนอย่างสม่ำเสมอ คอยระวังอย่าให้ไฟแรงเกินไป
เมื่อรู้สึกว่าเนื้อไข่เริ่มเป็นครีม ให้รีบยกขึ้นจากเตาได้เลย
จัดเสิร์ฟ ข้าวผัด ของทอด และไข่ข้น วางให้สวยงาม"
ก๋วยเตี๋ยวคั่วไก่ แบบง่าย,"1
ก่อนอื่นเริ่มต้นด้วยการหมักไก่กันก่อน นำเนื้อไก่มาหั่นเป็นชิ้นพอดีคำหมักกับซีอิ๊วขาว พริกไทยลงไปแป้งมัน หมักทิ้งไว้ 1-2ชั่วโมง
เคล็ดลับ: (หรือถ้ามีเวลาหมักนานกว่านี้ก็ยิ่งดีเพื่อให้เครื่องปรุงซึมเข้าไปในเนื้อไก่)

2
มาดูส่วนผสมกันค่ะ มีไม่เยอะ สูตรนี้ทำให้เด็กๆทานเลยจะไม่ได้ใส่หมึกกรอบ กับตั้งฉ่าย
เคล็ดลับ: ถ้ามีหมึกกรอบ และตั้งฉ่ายมีก็สามารถใส่เพิ่มลงไปได้นะคะ

3
ตั้งกระทะใส่น้ำมัน พอน้ำมันร้อนใส่ไก่ที่หมักไว้ลงไปผัดให้สุก

4
จากนั้นก็ตอกไข่ใส่ลงไปยีไข่ผัดใหเข้ากันจนไข่สุก 

5
จากนั้นใส่เส้นใหญ่ลงไปผัด ปรุงรสด้วยซีอิ๊วขาว เกลือ น้ำตาลทราย และพริกไทยป่น ผัดคลุกเคล้าให้เข้ากัน

6
โรยด้วยต้นหอมซอย และผักซีตักใส่จานพร้อมเสริฟค่ะ"
ไข่เจียวทรงเครื่องซอสมันกุ้ง,"ตอกไข่ใส่ชามผสม ปรุงรสด้วย น้ำปลา และซอสปรุงรส ตีผสมให้เข้ากัน แบ่งไข่ออกมาเล็กน้อย ไว้ทำไข่กรอบโรยหน้า
ใส่เนื้อกุ้งสับลงในชามผสมไข่ คนให้เข้ากัน
ตั้งกระทะ ใส่น้ำมันเล็กน้อย เทไข่ลงไป คอยคนให้เนื้อไข่มีความครีมข้น ๆ
ตักไข่บริเวณรอบ ๆ มาวางลงตรงกลางเพื่อขึ้นรูปไข่ให้เป็นก้อน ทำซ้ำไปเรื่อย ๆ จนได้รูปทรงที่ต้องการ
ใส่น้ำมันเพิ่ม ให้พอสำหรับทอดไข่ทั้งก้อน ทอดจนได้สีเหลืองทองตามต้องการแล้วยกขึ้นพักไว้ ตั้งกระทะสำหรับทำน้ำราด ใส่น้ำมันเล็กน้อย แล้วใส่มันหัวกุ้งลงไปผัด ตามด้วยกุ้งสด
เมื่อกุ้งเริ่มสุกจึงเติมน้ำสต็อกไก่
ปรุงรสด้วย ซีอิ๊วขาว น้ำตาลทราย เมื่อเริ่มเดือดใส่ผักสามสีตามลงไป
ใส่แป้งข้าวโพดผสมน้ำ จากนั้นคนให้ตัวน้ำราดข้นหนืด ใส่ผงฟูลงในส่วนผสมไข่ที่แบ่งไว้ แล้วนำไปทอดให้ขึ้นฟูกรอบ
ราดน้ำราดที่ทำไว้ลงบนไข่เจียวก้อน ออนท็อปด้วยไข่กรอบ และโรยด้วยต้นหอมซอยปิดท้าย "
ไข่ดองน้ำปลาแบบง่ายกว่านี้ไม่มีอีกแล้ว,"1
ขั้นตอนแรก ตั้งไฟอ่อนใส่น้ำปลากับน้ำเปล่าที่เตรียมไว้ลงไปค่ะ

2
ขั้นตอนที่2 เติมน้ำตาลปี้บ แล้วคนให้น้ำตาลละลายเข้ากัน
เคล็ดลับ: คอยคนอยู่เรื่อยๆน้ำตาลจะละลายไวค่ะ

3
เพิ่มเติมรูปภาพขั้นตอน2ค่าา

4
ขั้นตอนที่3 น้ำตาลละลายเข้ากันแล้วพักไว้ให้เย็นค่ะ
เคล็ดลับ: น้ำตาลที่ละลายเข้ากับน้ำปลาจะมีสีเข้มขึ้นค่ะ

5
ขั้นตอนที่4 ตอกไข่ไก่สด เอาแต่ไข่แดงค่ะ

เพิ่มเติมสำคัญ ไข่ที่ใช้จะต้องเป็นไข่ปลอดเชื้อ salmonella นะคะ
เคล็ดลับ: ถ้าใช้มือจะสามารถเอาไข่ขาวออกได้หมดกว่าค่ะ

6
ขั้นตอนที่5 นำน้ำปลาที่พักไว้เย็นแล้วมา ตักไข่แดงใส่ลงไปค่ะ
เคล็ดลับ: ใส่ครบแล้วก็คนเล็กน้อย

7
ขั้นตอนที่6 ใส่พริกกับต้นหอมซอยลงไปค่ะ

8
ขั้นตอนสุดท้าย คนเล็กน้อยปิดฝาเข้าแช่ตู้เย็น 24 ชั่มโมง"
เทนชินฮัง,"ตั้งหม้อใบเล็กบนเตา ใช้ไฟกลาง ใส่เนยจืดลงไป รอจนเนยละลาย
ใส่โชยุ น้ำสต๊อกไก่ น้ำตาลทราย เกลือ พริกไทย น้ำส้มสายชูข้าว และน้ำมันงา ลงไปคนผสมให้เข้ากัน
เมื่อส่วนผสมเดือด เทแป้งมันละลายน้ำลงไป คนให้น้ำราดเริ่มข้นหนืด แล้วยกขึ้นพักไว้ นำปูอัดมาขูดด้วยส้อม เป็นเส้น ๆ เตรียมไว้
ตอกไข่ใส่ชามผสม ปรุงรสด้วย มายองเนส ซุปดาชิ เกลือ และพริกไทย ตีผสมให้เข้ากัน
ใส่ปูอัดฉีกลงไป คนให้เข้ากันดี
ตั้งกระทะ ใส่น้ำมันพืช ใช้ไฟกลาง ไม่ต้องรอจนกระทะร้อนจัด ใส่ไข่ที่ตีไว้ลงไป
ค่อย ๆ คนให้ไข่เป็นเนื้อครีมปรับเป็นไฟอ่อน ปิดฝาไว้สักครู่
เมื่อไข่เริ่มสุกเซตตัว ให้ยกขึ้นจากเตา
วางไข่ที่ทำไว้ลงเสิร์ฟบนข้าวญี่ปุ่น ราดด้วยน้ำราดที่เตรียมไว้
ตักถั่วลันเตาวางบนหน้า เพียงเท่านี้ก็พร้อมเสิร์ฟ"
แตงกวาผัดไข่,"ตั้งกระทะใส่น้ำมัน ตามด้วยกระะทียมเจียวจนเหลือง ใส่แตงกวาลงไปผัด เติมน้ำนิดหน่อย
2
ปรุงรสด้วย น้ำตาลทราย ผงปรุงรส น้ำมันหอย น้ำปลา ซีอิ้วปรุงรส และ พริกไทย ชิมรสตามชอบ
3
เปิดไฟแรง ตอกไข่ลงไป ค่อยๆ ขยี้ไข่ให้กระจาย ผัดจนไข่สุกทั่วดี ปิดแก๊ส ตักใส่จานพร้อมเสิร์ฟ"
ดอกมะลิผัดไข่,"สับกระเทียมให้พอหยาบ พักไว้
ตั้งกระทะเหล็กให้ร้อน ใส่น้ำมันแล้วร่อนให้ทั่วกระทะ ใส่กระเทียมลงไปผัด ตามด้วยไข่ ผัดให้ให้พอครีม ๆ ไม่ต้องสุกมาก ผัดให้เข้ากันแล้วตักใส่จาน ตกแต่งด้วยผักชีก็พร้อมเสิร์ฟ"
ปีกไก่ทอดน้ำปลา,"1
หมักปีกไก่ กับซีอิ้วขาว กับ น้ำปลา อย่างละ 2 ช้อน ทิ้งไว้ 2 ชั่วโมง

พอจะนำออกมาทอดให้ใส่แป้งทอดกรอบ ผสมกับน้ำเย็นคลุกๆให่เข้ากัน

2
ตั้งน้ำมันให้เดือด ปริมาณน้ำมันต้องเทให้ท้วมเนื้อไก่

3
ทอดไฟกลางถึงแรง"
ไก่ย่างจิ้มแจ่ว,"นำไก่ใส่ชามผสม ใส่สามเกลอลงไป ตามด้วยน้ำมันหอย ซีอิ๊วขาว และผงปรุงรส
คลุกเคล้าให้เข้ากัน หมักไว้ 30 นาที นำไก่ใส่ในหม้อทอด ทาน้ำมันลงบนหนังไก่ อบอุณภูมิ 165 องศาเซลเซียส 10 นาที
เมื่อครบเวลา ทาน้ำมันบนหนังไก่อีกครั้ง อบอุณภูมิ 165 องศาเซลเซียส 10 นาทีอีกครั้งหนึ่ง ครบเวลานำออกมาพักให้หนังกรอบ ในชามผสมใส่น้ำปลาและน้ำตาลปี๊บ คนให้ละลายเข้ากัน บีบมะนาวลงไป จากนั้นเติมพริกป่น หอมแดงและผักชีฝรั่ง คนจนเข้ากัน
หั่นไก่เป็นชิ้นตามชอบ เสิร์ฟพร้อมน้ำจิ้มแจ่วที่ทำเตรียมไว้ "
บาร์บีคิว สูตรทำขาย และทำกิน,"1 เตรียมส่วนผสม วัตถุดิบให้พร้อม
ล้างให้สะอาดก่อนทำ
เคล็ดลับ: ใช้วัตถุดิบที่มีคุณภาพยิ่งอร่อย พริกหยวกผ่าครึ่งและล้างเอาเม็ดออกให้สะอาดจะช่วยลดความเผ็ดและกินง่ายขึ้น สับปะรดใช้สับปะรดเนื้อสองจะไม่หวานและช่ำมากเนื้อจะแน่นเสียบง่าย

2
ผสมน้ำหมักตามส่วนผสมที่บอกทั้งหมดคนให้เข้ากันเทลงไปในเนื้อหมู .ไก่ . เนื้อ ตามต้องการ ในปริมาณ 4 กิโลกรัม หมักและนวดให้เข้ากัน หมักทิ้งไว้ในตู้เย็นอุณหภูมิเย็นจัด หมักข้ามวัน ไม่ต่ำกว่า 8 ชั่วโมง
เคล็ดลับ: ยิ่งหมักนานยิ่งนุ่มเข้าเนื้อ ผสมส่วนติดมันจะหอมเวลาย่าง ทำซอสทาจะประหยัดซอสมากกว่าถ้าทำขาย หมักให้ถึงเครื่องไม่ต้องใส่ซอสเยอะก็อร่อย

3
เวลาผ่านไปเสียบไม้ด้วยผักสามัญประจำบาร์บีคิว
เน้นประหยัดใช้ของถูก
สับปะรดเนื้อ2อมเปรี้ยวเนื้อแน่นหั่นง่ายเสียบง่าย
พริกหยวกพริกชี้ฟ้าแดงใหญ่หั่นและผ่าครึ่ง
ล้างและเอาเม็ดออกให้หมดเพื่อได้ไม่เผ็ดมาก
หอมใหญ่.มะเขือเทศ . ว่าไป
ใช้ไม้เบอร์ 9 กำลังสวย
เคล็ดลับ: เสียบขาย เน้นการหั่นให้เป็นสี่เหลี่ยมเต๋ากำลังสวย เนื้อไก่จะยุ่ยและเลยง่ายควรใช้ส่วนอกจะแน่นกว่า หั่นให้หนากว่าเนื้อหมู เนื้อหมูส่วนสะโพกจะถูกสุดค่อนข้างจะมีเนื้อเหนียวแต่ถ้าทำขายหมักนานๆรับรองนุ่มไม่แพ้กันแถมลดต้นทุน ผสมสันคอหรือส่วนมันเล็กน้อยไว้เสียบแซมๆได้ความหอม

4
ย่างด้วยไฟกลาง
ให้สุกหอมทีละหน้า ทาเนย ให้หอม โรยพริกไทย
มากน้อยตามชอบ ก่อนเอาขึ้นจากเตา
ทาซอสบาร์บีคิวให้ชุ่มช่ำ ทั้งสองด้าน
อร่อยเลยจ้า

5
ทำซอส 1ครั้ง สำหรับประมาณ 150 ไม้

กระเทียมหอมแดง 15 กลีบ โขลกให้ละเอียด
เนย 1 ช้อนโต๊ะพูนๆ
น้ำมันพืชเล็กน้อย
ซอสบาร์บีคิว 1 ถ้วยตวง
ซอสพริก 1 ถ้วยตวง
ซอสมะเขือเทศ 1 ถ้วยครึ่ง
น้ำเปล่า 1 ถ้วยตวง
น้ำตาลทราย 6 ช้อนโต๊ะ
เกลือ 2 - 3 ช้อน โต๊ะ บางๆ
พริกป่นละเอียด

ตั้งกะทะไฟอ่อน ใส่เนยและน้ำมันพืชลงไป
ละลายดีใส่กระเทียมลงไปคั่วให้หอมเหลือง
กลิ่นมาใส่ซอสสามอย่างรวมกัน
ใส่พริกไทย พริกป่น ลงไปคลุกเคล้าให้เดือดหนึ่งครั้ง ปิดไฟเสร็จเรื่องซอส
ที่ไม่ปรุงเพราะชมรสกลมกล่อมแล้วไม่ต้องปรุงไรเพิ่มเลยคะ
(ถ้าข้นไปก็ผสมน้ำปรุงรสเพิ่มเติมตามสะดวก)
เคล็ดลับ: ผสมให้ซอสเดือดและชิมรสชาติตามชอบ"
ปีกกลางไก่พาร์เมซานกระเทียม,"นำปีกกลางไก่ จากโลตัส มาทำความสะอาดเรียบร้อย
จากนั้นนำไปปรุงรสด้วยผงกระเทียม เกลือ และพริกไทย จากนั้นคลุกแป้งทอดกรอบ
นำปีกกลางไก่ลงทอดในน้ำมันให้สุกจากนั้นพักไว้ ละลายเนย ใส่กระเทียมสับ และชีสพาร์เมซาน เคล้าให้เข้ากัน
นำปีกกลางไ์ก่ที่ทอดไว้ ลงคลุกเคล้าให้เนยได้สัมผัสทุกชิ้นปีกไก่ทอด โรยด้วยพาร์เมซานชีส จากนั้นเสิร์ฟพร้อมเลมอนหั่นซักให้สวยงาม"
