ชื่ออาหาร,วัตถุดิบ_ไม่มีปริมาณ,,query1 อยากกินอาหารครบ,query2 ,query 3 
แกงเขียวหวานไก่,"พริกแกง,  กะทิ, ไก่, เลือดไก่,  มะเขือเปราะ,  มะเขือพวง,  ใบโหระพา,  พริกชีฟ้า,  พริกขี้หนูสด,  น้ำตาล",,พริกแกงเขียวหวาน กะทิ ไก่ ใบโหระพา รสชาติดี กินแล้วอร่อย,อยากกิน แกงเขียวหวาน เพราะกับไก่ชิ้นเบิ้มๆ มีมะเขือพวงและมะเขือเปราะ,อยากอีสพริกแกงอร่อยๆ ใส่กะทิ ใส่ไก่ มะเขือ รสชาติอร่อย
แกงส้มมะละกอปลากระป๋อง,"มะละกอ,  ปลากระป๋อง,  น้ำตาลปี๊บ,  น้ำมะขาม,  น้ำปลา,  น้ำเปล่า,  พริกแกง,  ผักชี",,อยากกินแกงส้ม มะละกอ ปลากระป๋อง รสชาติดี โปรตีนน้อย ,อยากอีส แกงร้อนๆ เปรี้ยวๆ เผ็ดหน่อย มีมะละกอ ปลากระป๋อง หอมแดง,อยากอีส แกงไทยเปรี้ยวแซ่บๆ มีปลากระป๋องกับผักหวานๆ อย่างมะละกอ
พริกแกงเหลือง (แกงส้มใต้),"พริก,  กระเทียมไทย,  ขมิ้นยาว, กะปิ,  เกลือ",,มี พริกจินดาแห้ง กระเทียม ขมิ้น เอามาทำอะไรดี,อยากอีส แกงใต้ๆ เผ็ดร้อนจัดจ้านแบบมีพริก ขมิ้น กะปิ หอมแรงๆ เค็มๆนัวๆ,อยากอีส แกงสีเหลืองแบบใต้ รสเผ็ดจี๊ด มีกลิ่นขมิ้นกับกะปิ หอมกระเทียมแรงๆ
น้ำพริกกะปิสูตรอร่อยเด็ด,"กระเทียม,  กะปิ,  น้ำตาลปี๊บ,  พริกขี้หนู,  มะเขือพวง,  น้ำมะนาว",,กระเทียม กะปิ น้ำตาล พริกขี้หนู​ ทำอะไรได้บ้าง,,
แกงส้มชะอมกุ้งพริกแกงใต้,"กุ้ง,  ชะอม,  พริกแกง,  ไข่ไก่,  น้ำตาลปีบ,  น้ำปลา, น้ำมัน,  น้ำมะขามเปียก",,อยากกินอาหารรสชาติ รสเปรี้ยวนำ ตามด้วยเผ็ด มี กุ้ง  ไข่ ผักชะอม รสชาติดี แคลมาก,อยากอีส แกงส้มใต้ๆ มีไข่ชะอม กุ้งสดๆ รสเปรี้ยว เผ็ด เค็มครบเครื่อง,อยากกินแกงส้มใต้รสแซ่บ มีชะอมไข่นุ่มๆ กุ้งเด้งๆ หอมพริกแกง น้ำมะขามนำๆ
ยำปลากระป๋องแบบบ้าน,"ปลากระป๋อง,  หอมแดงซอย,  พริกขี้หนู,  มะนาว",,อยากกินอะไรเปร้ิยวๆ เผ็ดๆ เรามีปลากระป๋อง หอมแดง พริกขี้หนู มะนาว ทำเมนูอะไรได้บ้าง,,
น้ำพริกกะปิ ปลาทูทอด,"น้ำพริก,  กระเทียม,  พริก,  น้ำตาลมะพร้าว,  กะปิ,  มะนาว,  ผัก,  ถั่วฝักยาว,  ผักบุ้ง,  น้ำเปล่า, ปลาทูทอด,  น้ำมัน",,อยากกินอาหารเคียงกับปลาทูตัวใหญ่ๆ ที่บ้านที พริก ประเทียม พริกไทย กะปิ มะนาว ผักต้ม ,อยากอีส อะไรแซ่บๆ เค็มมัน มีพริก กระเทียม กะปิ มะนาว ปลาทูทอด,
แกงเขียวหวานไก่ใส่ฟัก,"สะโพกไก่,  ฟัก,  ตีนไก่,  พริกแกง,  กะทิ,  มะเขือ,  ใบโหระพา,  พริกชี้ฟ้า,  น้ำปลา,  น้ำตาลปีบ,  มะเขือพวง",,อยากกินแกง รสเผ็ด เค็ม มัน หวานจากกะทิ มีไก่เยอะเยอะ ไขมันน้อย,อยากอีส อาหารกะทิเข้มข้น หอมเครื่องแกง มีไก่ มะเขือ ใบโหระพา พริกแดง,
ไข่เจียวหมูสับหน้ากรอบ,"หมู,  ไข่ไก่,  น้ำปลา, ตามชอบ, ซอสหอยนางรม, น้ำตาล",,อาหารง่ายๆ บ้านๆ ทำงจากไข่ หมูสับ,,
เทคนิค กะเพราหมูสับ แบบแห้ง อร่อยกว่าร้าน,"หมูสับ,  พริกเขียว, กระเทียม,  ใบกะเพรา,  ซีอิ๊วขาว,  น้ำปลา,  พริกไทย",,อยากกินอาหารเผ็ด เค็ม มีหมูสับ และใช้ใบกะเพราให้หมด ,,
แกงเขียวหวานไก่ผัดแห้ง,"ไก่,  มะเขือเปราะ,  มะเขือพวง,  พริกแดง,  ใบโหระพา,  พริกแกง,  น้ำตาลปี๊บ,  ใบมะกรูด,  นมข้นจืด,  น้ำมัน, น้ำเปล่า",,อาหารที่ทำจากไก่ มะเขือต่างๆ พริก ใบโหระพา ใบมะกรูด  รสชาติดี,,
ขนมจีนน้ำยาปลาทู,"ปลาทู,  พริกแกง,  กะทิ,  ลูกชิ้นปลา,  กระชาย,  ขนมจีน,  ผัก,  น้ำตาลมะพร้าว,  น้ำปลา",,มีเส้นขนมจีน กะทิ พริกแกง กระชาย ปลาทู ทำอาหารไขมันน้อยได้ไหม,,
แกงส้มปลาหน่อไม้ดอง,"ปลา,  พริกแกง,  หน่อไม้,  กะปิ,  น้ำตาลมะพร้าว,  เกลือ,  น้ำปลา,  น้ำมะขามเปียก,  มะนาว",,อยากกินอาหารไขมันน้อย มีปลาตัวใหญ่ พร้อมเครื่องแกง มะนาว กะปิ หน่อไม้ดอง ,,
พริกแกงมัสมั่น​,"เม็ดผักชี,  เม็ดยี่หร่า,  เม็ดกระวาน,  กานพลู,  ลูกจันทน์​,  ดอกจันทน์​,  อบเชย, พริกชี้ฟ้า,  เกลือสมุทร​,  ข่าแก่,  ตะไคร้,  มะกรูด,  กระเทียม​,  หอมแดง,  กะปิ,  พริกไทยขาว",,มีเครื่องเทศต่างๆ เข่น ดอกจันทร์ ผิวมะกรูด กระเทียม เม็ดผักชี ทำอะไรได้บ้าง,,
ขนมครกสิงคโปร์,"แป้งสาลี,  แป้งมัน,  นม,  ใบเตย, ผงฟู,  เกลือ,  น้ำตาลทราย,  น้ำมันพืช,  ไข่ไก่",,อยากกินขนมอร่อยๆ นุ่มๆ มีแป้ง ใบเตย น้ำตาลพืช,,
ไก่ผัดเม็ดมะม่วงหิมพานต์ (น้ำพริกเผา) Gai Pad Med Mamuang,"ไก่,  แป้งทอดกรอบ,  เม็ดมะม่วงหิมพานต์,  พริก,  หอม,  พริกหวาน, พุทรา,  ต้นหอม,  กระเทียม,  ซอสหอยนางรม,  ซีอิ้ว,  น้ำตาลทราย,  น้ำพริกเผา",,อยากกินไก่กับเม็ดมะม่วงหิมพานต์  รสชาติหวาน กรอบ อร่อย,,
แกงส้มผักบุ้งกุ้งลอยน้ำ,"กุ้ง,  พริกแกง,  ผักบุ้ง,  น้ำปลา,  หัวหอม,  กระชาย,  กะปิ, น้ำตาลทราย,  น้ำมะขามเปียก,  ใบมะกรูด",,อยากกินแกง ไขมันน้อย มีกุ้งตัวใหญ่ๆ พริกแกงส้ม กระชาย,,
ข้าวผัดซีอิ๊วดำ,"ข้าวสวย,  เนื้อหมู,  ไข่ไก่,  คะน้า,  มะเขือเทศ,  หอมหัวใหญ่,  กระเทียมสับ,  ซีอิ๊วดำ,  ซีอิ๊วขาว,  น้ำปลา,  น้ำตาลทราย,  น้ำมันพืช",,อยากกินข้าวผัด รสชาติที่กินแล้วนึกถึงบ้าน  มีซิอิ้วดำ คะน้า หอมหัวใหญ่,,
ขนมจีนน้ำยากะทิไก่,"กะทิ,  อกไก่,  พริกแห้ง,  กระชาย,  ตะไคร้,  หอมแดง,  ข่าหั่น,  กระเทียมซอย,  น้ำซุป,  เกลือป่น,  น้ำปลา,  น้ำตาลทราย,  ใบมะกรูด,  ลูกชิ้น  ขนมจีน",,มีกะทิและเนื้อไก่ กระชาย ตะไคร้ หอมหัวแดง  อยากทำอาหารที่โปรตีนสูง เป็นอาหารคาว,,
น้ำพริกหนุ่ม,"พริก,  หอมแดง,  กระเทียม,  เกลือ,  มะนาว,  น้ำตาล,  ผงคนอร์,  ผงชูรส",,อยากกินน้ำพริก เผ็ด นุ่มละมุนลิ้น  มีพริกหนุ่ม ,,
หมูฮ้อง,"หมูสามชั้น,  พริกไทย,  กระเทียม,  รากผักชี,  อบเชย,  ดอกจันทร์,  ซีอิ้วขาว,  ซีอิ้วดำ,  น้ำตาลทราย,  น้ำตาลปี๊บ,  เกลือ, คนอร์",,"อยากกินอาหารทื่ทำมาจาก หมูสามชั้น,  พริกไทย,  กระเทียม, อบเชย อร่อยๆ",,
ผัดกะเพราเนื้อสับ,"เนื้อ,  ใบกะเพรา,  กระเทียม,  พริกขี้หนูสวน, น้ำปลา,  ซอสปรุงรส,  ซอสหอยนางรม,  น้ำตาล,  น้ำ",,"อยากกิน เนื้อ,  ใบกะเพรา,  กระเทียม,  พริกขี้หนูสวน,  น้ำ ไขมันน้อย ",,
แกงเขียวหวานตีนไก่,"ตีนไก่,  สะโพกไก่,  กระทิ, พริกแกงเขียวหวาน,  หน่อไม้,  พริกชี้ฟ้า,  ใบมะกรูด,  ใบโหระพา",,"มี ตีนไก่, กระทิ, พริกแกงเขียวหวาน, ทำเมนูอะไรได้บ้าง",,
ต้มยำปลาทู,"ปลาทู,  เครื่องต้มยำ, มะนาว,  มะเขือเทศ,  พริกชี้ฟ้า,  เกลือ,  ผงปรุงรส, น้ำปลา",,อยากกินอาหารที่ไขมันน้อย มีปลาทู กับเครื่องต้มยำ,,
ข้าวคลุกกะปิ,"กะปิ,  ข้าวสวย,  หมูสามชั้น,  น้ำตาล,  กระเทียม, สัปปะรด,  กุนเชียง,  ไข่ไก่,  ไข่เค็ม,  ปลาทู,  ถั่วฝักยาว,  หอมแดง,  พริกขี้หนู,  มะม่วง,  กุ้งแห้ง,  ผักชี,  ซีอิ้วดำ",,"มี กะปิ,  ข้าวสวย,  หมูสามชั้น,  น้ำตาล,  กระเทียม, สัปปะรด  ทำอะไรดีอยากกินอาหารที่มีโปรตีนสูง ช่วงนี้เล่นเวท",,
มาม่าผัดกะเพราหมูสับ,"มาม่า,  หมูสับ,  ใบกะเพรา,  คนอร์,  น้ำตาลทราย,  ซีอิ๊วดำ,  กระเทียม,  พริกแดง,  น้ำมัน, น้ำเปล่า",,"อยากจะกินเส้นมาม่าที่เหลืออยู๋ และใส่หมูสับ,  ใบกะเพรา ด้วย",,
ฉู่ฉี่ปลาทูสด,"ปลาทู,  พริกแกง,  กะทิ,  ใบมะกรูด,  พริกชี้ฟ้า,  น้ำปลา,  น้ำตาลปี๊บ,  คนอร์",,"อยากจะกินปลาทู ที่มีพริกแกง, กะทิ ทำอาหารอร่อยๆ รสชาติเผ็ด  ",,
มาม่าผัดต้มยำกุ้ง,"มาม่า,  เห็ดฟาง,  กุ้งสด,  พริกเผา,  ซอสหอยนางรม,  น้ำปลา,  น้ำตาลทราย,  ตะไคร้,  หอมแดง,  ข่าสับ,  ใบมะกรูด,  พริกแดง,  กระเทียม,  คนอร์,  มะนาว,  น้ำมันพืช",,"อยากจะใช้วัตถุดิบ มาม่า  เห็ดฟาง,  กุ้งสด,  พริกเผา, ตะไคร้,  หอมแดง, รสชาติจัดจ้าน กินแล้วตื่น กินแล้วชื่นใจ",,
โรลข้าวน้ำพริกกะปิ,"น้ำพริก,  ปลาทู,  แตงกวา,  แครอท,  ชะอม,  ไข่ไก่,  ข้าวสวย",,"อยากจะทำอาหารที่กินง่าย พกพาสะดวก มีน้ำพริก,  ปลาทู,  แตงกวา,  แครอท,  ข้าว ไขมันน้อย ",,
แกงส้มผักรวมเจ,"พริกแกงส้ม,  ถั่ว,  เห็ด,  น้ำตาลปี๊บ,  น้ำมะขามเปียก,  เกลือ,  ผงปรุงรส,  ถั่วฟักยาว,  หัวไชเท้า,  เห็ดนางฟ้า,  กวางตุ้ง,  ดอกแค,  น้ำเปล่า",,มีพริกแกงส้มเหลือในตู้เย็นเยอะมาก ทำอะไรได้บ้าง อยากให้มรแต่ผัก ไม่เอาเนิ้อสัตว์ ,,
ผัดไทยกุ้งสด หัวกุ้งทอดกรอบ,"เส้นหมี่,  กุ้ง,  กุยช่าย, หอมแดง,  พริกแห้ง,  กระเทียม,  น้ำมะขาม,  น้ำตาลทราย,  เต้าหู้ขาว, ถั่วงอก, น้ำปลา",,มีเส้นหมี่ กุ้ง กุยช่าย ถั่วงอก เต้าหู้  ,,
ขนมจีนน้ำยาไก่,"เนื้อไก่, กระทิ, ข่า, ตะไคร้, ใบมะกรูด,  ตีนไก่, ครึ่งโล, ลูกชิ้น,  พริกแกง,  เกลือ,  กระชาย,  เส้นขนมจีน",,"มีเส้นขนมจีน  ไก่, กระทิ, ข่า, ตะไคร้, ใบมะกรูด ทำอาหารอะไรได้บ้าง",,
ต้มยำกุ้งน้ำข้น,"กุ้ง,  ตะไคร้,  ใบมะกรูด,  ข่า,  เห็ดฟาง,  คนอร์,  นมจืด,  น้ำพริก, พริก,  เกลือ,  น้ำปลา,  น้ำตาล,  มะนาว",,"มีกุ้งตัวใหญ่ๆ,  ตะไคร้,  ใบมะกรูด, อยากกินอะไรแซ่บๆ",,
ข้าวผัดแกงเขียวหวาน,"เนื้อหมู,  ข้าวสวย,  น้ำพริกแกงเขียวหวาน,  มะเขือเปราะหั่น, มะเขือ,  ใบโหระพา,  พริกแดง,  กะทิ,  น้ำตาลปี๊บ,  น้ำปลา",,"อยากจะใช้ เนื้อหมู, น้ำพริกแกงเขียวหวาน, ใบโหระพา,  พริกแดง,  กะทิ ทำเมนูที่ไขมันน้อย ดีต่อสถุขภาพแต่รสชาติดีอร่อยถึงใจ ",,
ต้มยำปลากระป๋อง,"ปลากระป๋อง,  ตะไคร้,  ข่า,  ใบมะกรูด,  เห็ดนางฟ้า,  หอมแดง,  ผักชีฝรั่ง,  ผงปรุงรส,  พริกป่น,  พริกจินดา,  มะนาว",,อยากจะกินปลากระป๋อง และพอดีมีต้มยำ ตะไคร้ ใบมะกรูด ทำเมนูอะไรดี,,
ข้าวผัดน้ำพริกลงเรือสูตรโบราณแกล้มหมูกรอบทอดน้ำปลา,"หมูสามชั้น,  ปลาดุก,  พริกขี้หนู,  กะปิ,  น้ำตาลปีบ,  กระเทียม,  ถั่วฝัก,  ไข่เค็ม,  แครอทต้มสุก,  น้ำปลา,  ซอสหอยนางรม,  ซอสปรุงรส,  น้ำตาลทราย",,อยากจะกิน หมูสามชิ้นชื้นโตๆ มีปลาดุกฟู พริก กะปิ,,
แกงส้มผักรวม,"ผักสด,  ปลา,  พริกแห้ง,  หอมแดง,  กะปิ,  น้ำตาลปี๊บ,  น้ำปลา,  เกลือ,  น้ำมะขามเปียก",,อยากจะกิน แกง ที่มีผักเยอะๆ ใส่ปลาเพื่อเพิ่มความอร่อย และพริกแกงเพิ่มรสชาติ,,
ข้าวมันไก่เด็กหอ,"น่องไก่,  ข้าว,  กระเทียม,  ขิง,  พริกสด,  น้ำตาลทราย,  มะนาว,  ซอสปรุงรสสูตร, เต้าเจี้ยว,  คนอร์",,อยากจะกินเมนูอาหารที่มีไก่ ไก่นิ่มๆ พร้อมกับข้าว รสชาติเบาๆ แต่ถ้าอยากเพิ่มรสก็มีน้ำจิ้ม,,
แกงส้มปลาทูสด,"ปลาทู,  พริกแกง,  น้ำปลา,  น้ำตาล,  น้ำมะขามเปียก,  ผักบุ้ง",,อยากจะกิน แลาทูตัวใหญ่ๆ กับพริกแกงส้ม ,,
เครื่องในไก่ทอดกระเทียม,"ไก่,  พริกไทยขาว,  ผงปรุงรส,  แป้ง,  กระเทียม,  น้ำมันพืช",,มีเครื่องในไก่เหลือเอาไปทำอะไรดี,,
ข้าวกะเพราเนื้อไข่ดาว เมนูนี้ไม่มีเบื่อ,"ไข่ไก่,  เนื้อ,  ซอสหอยนางรม,  น้ำปลา,  น้ำตาล,  ใบกะเพรา,  กระเทียม,  พริก",,อยากกินอาหารเผ็ดๆ มีเนื้อ ไข่ ใบกะเพรา,,
"ผัดกะเพราโบราณ, ผัดกะเพราเนื้อสับ","เนื้อสับ,  พริกขี้หนู,  กระเทียมจีน,  ใบกะเพรา, ตามชอบ, ซอสปรุงรส,  น้ำปลา,  น้ำตาลทราย,  ซอสหอยนางรม,  น้ำดื่ม",,มีเนื้อสับ พริก ใบกะเพรา,,
แกงเทโพหมูสามชั้น,"หมู, พริกแกงใต้,  น้ำตาลมะพร้าว,  ใบมะกรูด,  มะขามเปียก,  น้ำปลา,  ผักบุ้ง,  น้ำมันพืช,  กะทิ",,มีหมูสามชั้นชิ้นใหญ่ และพริกแกงใต้ อยากกินอะไรที่เป็นแกงๆ ,,
แกงเลียงปลากรอบ,"ปลากรอบ,  น้ำเต้า,  บวบ,  ข้าวโพดอ่อน,  ใบแมงลัก,  พริกไทยเม็ด,  หอมแดง,  กุ้งแห้ง,  พริกขี้หนู,  กะปิ",,อยากกินแกง รสชาติเค็มพอดี มีรสเผ็ด ใช้พริกไทย และปลากรอบ,,
ปลากะพงทอดน้ำปลา,"ปลากระพง,  น้ำมัน,  น้ำปลา,  น้ำตาลปี๊บ,  น้ำเปล่า,  ถั่วลิสง, ใบผักชี",,อยากกินอะไรเค็มๆ รสชาติเด็กๆ มีปลา กับน้ำปลา ไขม้นน้อย,,
แกงบวดฟักทอง,"ฟักทอง,  น้ำตาลทราย,  กะทิ,  เกลือ, เล็กน้อย",,มีฟักทอง กะทิ อยากกินขนมหวานอร่อยๆ ,,
แกงส้มผักกระเฉด,"ผักกระเฉด,  กุ้งผ่า,  ปลากระป๋อง,  พริกสด,  หอมแดง,  กระชาย,  กระปิ,  เกลือป่น,  น้ำตาล,  น้ำปลา,  น้ำมะขามเปียก,  มะนาว",,มีผักกระเฉด  กับพริกแกง ปลากระบอก รสชาติอร่อยๆ รสชาติดี โปรตีนสูง,,
ก๋วยเตี๋ยวคั่วไก่,"เส้นใหญ่,  อกไก่,  เห็ดหูหนูขาว,  รากผักชี, กระเทียม, พริกไทย,  ไข่ไก่,  ซีอิ๊วขาว, ซีอิ๊วดำ, น้ำปลา, ซอสพริก,  ผักกาดหอม,  พริกเหลือง, น้ำส้มสายชู,  ไก่เชียง, หนังไก่",,อยากกินของคาว เส้นๆ มีไก่ ไข่  ยิ่งมีหนังไก่กรอบๆนิ่งอร่อย,,
แกงเขียวหวานสำเร็จรูป,"หมูสันใน,  ผงปรุงรส,  น้ำกะทิ,  ใบมะกรูด,  โหระพา,  พริกชี้ฟ้าแดง,  มะแว้งเขียว,  น้ำเปล่า",,มีหมูสั้นใน กับผงปรุงรสแกงเขียวหวาน ทำอาหารอะไรดี,,
แกงมัสมั่นไก่,"สะโพกไก่,  พริกแกง,  กะทิ,  ถั่วลิสงคั่ว,  มันฝรั่ง,  หอมใหญ่,  น้ำตาลมะพร้าว,  น้ำปลา,  น้ำมะขามเปียก,  อบเชย โป๊ยกั๊ก, ใบกระวาน,  เกลือ",,สะโพกไก่ พริกแกงมัสมั่น  กะทิ ทำอะไรกินได้บ้าง,,
ข้าวกะเพราไก่ไข่ดาว,"เนื้อไก่สับ,  ใบกะเพรา,  พริกแดงจินดา,  กระเทียม,  ซีอิ๊วดำ,  ซอสหอยนางรม,  น้ำปลา,  น้ำตาลทราย,  คนอร์,  ไข่ไก่,  น้ำมันพืช,  ข้าวสวย",,อยากกินอะไรง่ายๆ เนื้อไก่ ข้าว ใบกะเพรา ไข่ไก่,,
แกงส้มกุ้งสับปะรด,"กุ้ง,  สับปะรด,  เครื่องแกง,  กะปิ,  น้ำปลา,  เกลือ,  น้ำตาล,  น้ำมะขามเปียก,  มะนาว",,อยากกินแกงที่มีสัปปะรดกับกุ้ง,,
พะแนงเนื้อ,"วัว, พริกแกงพะแนง,  กะทิ,  มะเขือพวง,  ใบมะกรูด,  พริกแดง,  น้ำตาล,  เกลือ",,ช่วงนี้อยากกินอะไรเผ็ดๆ หวานเล็กน้อย เนื้อวัว กะทิ พริกแกง,,
แกงเขียวหวาน สันในหมู,"เครื่องแกง,  สันในหมู,  มะเขือเปราะ,  พริกชี้ฟ้า, โหระพา, นิดหน่อย, กะทิ,  ซอสหอยนางรม,  น้ำปลา,  น้ำตาล",,อยากกินแกงเขียวหวานอร่อยๆ ไขมันน้อย ทำจากสันในหมู ,,
ฉู่ฉี่ปลาทู,"ปลาทูสด,  กะทิ,  พริกแกง,  น้ำปลา,  น้ำตาลปี้บ,  ใบมะกรูด,  พริกแดง",,มีปลาทูดีๆ อยากมาทำอาหารอร่อยๆ มีกะทิ พริกแกงน่าจะดี,,
แกงเลียงกะทิสด,"กุ้ง,  หัวหอมแดง,  ข่า,  กระชาย,  กะปิ,  พริกไทย,  กุ้งแห้ง,  ฟักทอง,  ข้าวโพดอ่อน,  บวบ,  เห็ด,  ใบแมงลัก,  กะทิสด,  น้ำปลา",,กินแกง ใส่กุ้ง  กระชาย บวบ รสชาติดี อร่อยๆ,,
ปลาทอดขมิ้น,"ปลา,  กระเทียม,  ขมิ้น",,อยากกินปลาอร่อยๆ ใส่ขมิ้น หอมๆ,,
ฉู่ฉี่ปลานิล (สูตรคุณยาย),"ปลานิล,  พริกแกง,  ใบมะกรูด, ประมาณ,  น้ำปลา,  น้ำตาล,  ผงชูรส,  น้ำมันพืช",,มีปลานิลเหลือๆ มีพริกแกง ใบมะกรูด ทำอะไรดี,,
ต้มโคล้งปลากรอบ,"ปลา,  เห็ด,  ใบกระเพรา,  ผักชีฝรั่ง,  มะเขือเทศ,  หอมแดง,  ข่า,  ตะไคร้,  พริกแดง,  พริกแห้ง,  ใบมะกรูด,  มะนาว,  น้ำเปล่า,  น้ำปลา,  น้ำตาล,  เกลือ",,อยากกินต้มๆ ร้อนๆ มีปลาทิบทิม เห็ดฟางด้วย ,,
