ชื่ออาหาร,ingredient_full_json,total_protein,total_fat,total_carbs,total_calories
แกงเขียวหวานไก่,"""น้ำพริกแกงเขียวหวาน(สำเร็จรูป): 
กะทิ (กล่องใหญ่1 กล่อง+กล่องเล็กสุด 1 กล่อง): 
ไก่สด+เครื่องใน: 
เลือดไก่(ก้อน): 
มะเขือเปราะ: 
มะเขือพวง: 
ใบโหระพา: 
พริกชีฟ้าสีแดง: 
พริกขี้หนูสด: 
น้ำตาล:""",53.1,43.5,268.7,1678.7
แกงส้มมะละกอปลากระป๋อง,"""มะละกอออกสีแต้มๆ ลูกกลางๆ: 1ลูก
ปลากระป๋อง: 1กระป๋อง
น้ำตาลปี๊บ: 2ทัพพี
น้ำส้มมะขาม ตามความชอบ: 1ทัพพี
น้ำปลา แล้วแต่ชอบ: 
น้ำเปล่า: 2ถ้วยตวง
พริกแกงส้ม: 1ทัพพี
ผักชี:""",32.8,9.8,150.6,821.8
พริกแกงเหลือง (แกงส้มใต้),"""พริกจินดาแห้ง(ใช้พริกขี้หนูสดได้): 30 เม็ด
กระเทียมไทย: 30 กลีบ
ขมิ้นยาว 2 นิ้ว: 1 ชิ้น
กะปิ: 1 ช้อนโต๊ะ
เกลือ: 1 ช้อนชา""",33.1,3.3,69.6,440.5
น้ำพริกกะปิสูตรอร่อยเด็ด,"""กระเทียม: 1 ช้อนโต๊ะ
กะปิ: 1 ช้อนโต๊ะ
น้ำตาลปี๊บ: 1/2 ช้อนโต๊ะ
พริกขี้หนูสวน: 20 เม็ด
มะเขือพวง: 1 ช้อนโต๊ะ
น้ำมะนาวคั้นสด: 4 1/2 ช้อนโต๊ะ""",34.7,3.5,176.3,875.5
แกงส้มชะอมกุ้งพริกแกงใต้,"""กุ้ง: 5 ขีด
ชะอม: 1 กำ
พริกแกงส้มใต้: 2-3 ช้อน
ไข่ไก่: 4 ฟอง
น้ำตาลปีบ: 1-2 ช้อน
น้ำปลา: ตามรสชาติที่ชอบ
น้ำมัน: 1 ถ้วย
น้ำมะขามเปียก: ตามรสชาติที่ชอบ""",56.7,111.8,250.9,2236.6
ยำปลากระป๋องแบบบ้าน,"""ปลากระป๋อง: 3 กระป๋อง
หอมแดงซอย: 2 ช้อนโต๊ะ
พริกขี้หนู: 2 กรัม
มะนาว: 2 ลูก""",22.2,8.6,52.8,377.4
น้ำพริกกะปิ ปลาทูทอด,"""น้ำพริกกะปิ: 
กระเทียม: 4 กลีบใหญ่
พริก: 6 เม็ด
น้ำตาลแว่น/น้ำตาลมะพร้าว: 1.5 แว่น
กะปิอย่างดี: 1 ช้อนพูนๆ
มะนาว: 1.5 ลูกเล็ก
ผักต้ม: 
ถั่วฝักยาว: 5 ต้น
ผักบุ้ง: 4 ต้น
น้ำเปล่า: สำหรับลวก
น้ำเย็นจัด: สำหรับแช่ผัก
ปลาทูทอด: 
ปลาทูขนาดกลาง: 2 ตัว
น้ำมันปาล์ม: 1 ถ้วย""",83.8,126.4,212.8,2324.0
แกงเขียวหวานไก่ใส่ฟัก,"""สะโพกไก่: 2 ชิ้น
ฟักแก่: 3 ขีด
ตีนไก่: 2 ขีด
พริกแกงเขียวหวาน: 1.5 ขีด
กระทิสด: 1 โล
มะเขือ: 3-4 ลูก
ใบโหระพา: 1 กำเล็ก
พริกชี้ฟ้า: 4-5 เม็ด
น้ำปลา: 2 ช้อน
น้ำตาลปีบ: 1/2 ช้อน
มะเขือพวง: 1 ขีด""",81.7,57.5,338.6,2198.7
ไข่เจียวหมูสับหน้ากรอบ,"""เนื้อหมูสับ: 2-3ขีด
ไข่ไก่: 5 ฟอง
น้ำปลา: ตามชอบ
ซอสหอยนางรม: ตามชอบ
น้ำตาล: ตามชอบ""",44.8,12.3,210.0,1129.9
เทคนิค กะเพราหมูสับ แบบแห้ง อร่อยกว่าร้าน,"""หมูสับ: 1 ถ้วย
พริกเขียว + กระเทียม สับ: 1 ถ้วย
ใบกะเพรา: 2-3 ต้น
ซีอิ๊วขาว: 2-3 ช้อนชา
น้ำปลา: 1 ช้อนชา
พริกไทย: 2-3 เหยาะ""",46.6,20.8,184.4,1111.2
แกงเขียวหวานไก่ผัดแห้ง,"""เนื้อไก่หั่นเป็นชิ้น: 140 กรัม
มะเขือเปราะหั่น: 200 กรัม
มะเขือพวง: 2 ช้อนโต๊ะ
พริกแดงหั่นแฉลบ: 4 เม็ด
ใบโหระพา: 1 ถ้วย
พริกแกงเขียวหวาน: 2 ช้อนโต๊ะ
น้ำตาลปี๊บ: 1 /2ช้อนโต๊ะ
ใบมะกรูดฉีก: 4-5ใบ
นมข้นจืด.: 6 ช้อนโต๊ะ
น้ำมันพืช.: เล็กน้อย
น้ำเปล่า: เล็กน้อย""",40.4,124.3,224.4,2177.9
ขนมจีนน้ำยาปลาทู,"""ปลาทูนึงแกะเอาแต่เนื้อ: 2 ตัว
น้ำพริกแกงเผ็ดใต้: 100 กรัม
กะทิ: 250 กรัม
ลูกชิ้นปลา: 6-7 ลูก
กระชาย ล้างให้สะอาด ตำให้ละเอียด: 100 กรัม
ขนมจีน: 
ผักเครื่องเคียงตามชอบ: 
น้ำตาลมะพร้าว: 2 ช้อนโต๊ะ
น้ำปลา: 2 ช้อนโต๊ะ""",73.6,47.6,200.2,1523.6
แกงส้มปลาหน่อไม้ดอง,"""ปลาทับทิม: 1 ตัว
เครื่องแกงส้ม: 1 ขีด
หน่อไม้ดอง: 1/2 กก.
กะปิ: 1 ช้อนพูน
น้ำตาลมะพร้าว: 1 ช้อนโต๊ะ
เกลือ: 1 ช้อนชา
น้ำปลา: 1 ช้อนโต๊ะ
น้ำมะขามเปียก: 1 ถ้วย
มะนาว: 1.5 ลูก""",38.8,3.5,238.8,1141.9
พริกแกงมัสมั่น​,"""เม็ดผักชีคั่วป่น: 1+1/2 ช้อนชา
เม็ดยี่หร่าคั่วป่น: 1/2 ช้อนชา
เม็ดกระวานคั่วป่น​ (แกะเอาเฉพาะเม็ดที่อยู่ด้านใน)​: 4 เม็ด
กานพลูคั่วป่น: 4 ดอก
ลูกจันทน์​คั่วป่น: 1 ลูก
ดอกจันทน์​คั่วป่น: 1 ดอก
อบเชยท่อน​ 1 นิ้ว​ คั่วป่น: 1 ท่อน
พริกชี้ฟ้าแช่น้ำซับแห้ง: 10 เม็ด
เกลือสมุทร​: 1 ช้อนชา
ข่าแก่หั่นละเอียด: 1 ช้อนโต๊ะ​
ตะไคร้หั่นละเอียด: 2 ต้น
ผิวมะกรูด: 1 ช้อนชา
กระเทียม​ไทย: 20​ กลีบ
หอมแดง: 5 หัว
กะปิห่อใบตองย่างจนหอม: 1 ช้อนชา
พริกไทยขาวเม็ดคั่วป่น: 1/2 ช้อนชา""",109.7,158.3,498.2,3856.3
ขนมครกสิงคโปร์,"""แป้งสาลี: 2ถ้วย
แป้งมัน: 1ถ้วย
นมสดรสจืด: 1ถ้วย
ใบเตย12ใบแก่ๆ คั้นน้ำกรองกาก: 1ถ้วย
ผงฟู: 2ช้อนกาแฟพูนๆ
เกลือ: 1ช้อนกาแฟพูนๆ
น้ำตาลทราย: 1ถ้วย
น้ำมันพืช: 1ช้อนกาแฟ
ไข่ไก่: 2ฟอง""",31.1,113.4,238.5,2099.0
ไก่ผัดเม็ดมะม่วงหิมพานต์ (น้ำพริกเผา) Gai Pad Med Mamuang,"""เนื้อไก่หั่นชิ้นพอดีคำ: 400 กรัม
แป้งทอดกรอบ: 1/2 ถต.
เม็ดมะม่วงหิมพานต์ทอด: 100 กรัม
พริกทอดกรอบ หั่นท่อน: 10 เม็ด
หอมหัวใหญ่: 1 หัว
พริกหวานสามสี (3 สี แดง เหลือง เขียว ใช้สีละอย่างละ: 1/2 ลูก
พุทราเชื่อม/พุทราอบแห้ง (ใข้พุทราเชื่อมอร่อยกว่า) ส่วนนี้ไม่ใส่ก็ได้: 50 กรัม
ต้นหอมหั่นท่อน (มากน้อยตามชอบ): 5 ต้น
กระเทียมสับละเอียด: 1 ช้อนโต๊ะ
ซอสหอยนางรม: 2 ช้อนโต๊ะ
ซีอิ้วขาว/ซอสปรุงรส: 1 ช้อนโต๊ะ
น้ำตาลทราย(ความหวานปรับเพิ่มลดได้ตามความชอบ): 1 1/2 ช้อนโต๊ะ
น้ำพริกเผา (ถ้าทำให้เด็กทานด้วยสามารถลดในส่วนนี้ลงได้): 2 ช้อนโต๊ะ""",77.7,81.3,436.3,2787.7
แกงส้มผักบุ้งกุ้งลอยน้ำ,"""กุ้งสดตัวใหญ่: 3 ขีด
พริกแกงส้ม: 1 ช้อนโต๊ะ
ผักบุ้ง: 2 กำ
น้ำปลา: 1 ช้อนชา
หัวหอม: 2 หัว
กระชาย: 1 ต้น
กะปิ: ครึ่งช้อนชา
น้ำตาลทราย: 1 ช้อนชา
มะขามเปียก: 4 ฝัก
ใบมะกรูด: 4 - 5 ใบ""",94.5,46.6,345.2,2178.2
ข้าวผัดซีอิ๊วดำ,"""ข้าวสวย: 3 ถ้วย
เนื้อหมู: 50กรัม
ไข่ไก่: 2ฟอง
คะน้า: 30กรัม
มะเขือเทศ: 1ลูก
หอมหัวใหญ่: 1/2หัว
กระเทียมสับ: 4กลีบ
ซีอิ๊วดำ: 1ช้อนโต๊ะ
ซีอิ๊วขาว: 1/2ช้อนโต๊ะ
น้ำปลา: 1ชต
น้ำตาลทราย: 1ช้อนชา
น้ำมันพืช:""",62.5,113.6,347.9,2664.0
ขนมจีนน้ำยากะทิไก่,"""กะทิ: 1 Kg
เนื้อไก่ส่วนหน้าอกต้ม: 500 กรัม
พริกแห้ง: 15-20 เม็ด
กระชายหั่น: 7 หัว
ตะไคร้ซอย: 3 ต้น
หัวหอมแดงหั่น: 7 หัว
ข่าหั่น: 1 หัว
กระเทียมซอย: 3 หัว
น้ำซุปที่เหลือจากต้มไก่: 2 ถ้วยตวง
เกลือป่น: 1 ช้อนโต๊ะ
น้ำปลา: 4 ช้อนโต๊ะ
น้ำตาลทราย: 2 ช้อนโต๊ะ
ใบมะกรูด: 10 ใบ
ลูกชิ้นปลา: 300 กรัม
ขนมจีน: 1 Kg""",105.8,74.5,499.1,3090.1
น้ำพริกหนุ่ม,"""พริกหนุ่ม: 15 เม็ด
หอมแดง: 10 หัว
กระเทียม: 5 หัว
เกลือ: 1/2 ช้อนชา
มะนาว: 2 ลูก
น้ำตาล: 1/2 ช้อนชา
ผงคนอร์(รสหมู): 1 ช้อนโต๊ะ
ผงชูรส (ไม่ชอบไม่ต้องใส่): 1/2 ช้อนชา""",29.1,13.5,220.8,1121.1
หมูฮ้อง,"""หมูสามชั้น: 500 g
พริกไทยดำ-ขาว อย่างละ: 1 ช้อนโต๊ะ
กระเทียม: 2 ช้อนโต๊ะ
รากผักชี: 2 ช้อนโต๊ะ
อบเชย: 2 แท่ง
ดอกจันทร์: 3 ดอก
ซีอิ้วขาว: 3 ช้อนโต๊ะ
ซีอิ้วดำ: 1 ช้อนโต๊ะ
น้ำตาลทรายแดง: 2 ช้อนโต๊ะ
น้ำตาลปี๊บ: 1 ช้อนโต๊ะ
เกลือ: 1/2 ช้อนชา
ซุปรสหมูก้อนคนอร์: 1 ก้อน""",76.7,65.5,520.3,2977.5
ผัดกะเพราเนื้อสับ,"""เนื้อบด: 2 ขีด
ใบกะเพรา: 10 ใบ
กระเทียม: 5 กลีบ
พริกขี้หนูสวน: ตามใจชอบ
น้ำปลา: 1 ช้อนโต๊ะ
ซอสปรุงรส: 1 ช้อนโต๊ะ
ซอสหอยนางรม: 1 1/2 ช้อนโต๊ะ
น้ำตาล: 1 ช้อนชา
น้ำต้มสุก: 2-3 ช้อนโต๊ะ""",41.3,17.2,274.5,1418.0
แกงเขียวหวานตีนไก่,"""ตีนไก่: 1 กิโล
เนื้อไก่ส่วนสะโพก: 200 กรัม
กระทิคั้น(ซื้อที่ตลาด): 1 กิโล
พริกแกงเขียวหวาน: 300 กรัม
หน่อไม้ หรือ ยอดมะพร้าว: 200 กรัม
พริกชี้ฟ้าแดง: 5-6 เม็ด
ใบมะกรูด: 5 ใบ
ใบโหระพา: 2-3 กำมือ""",57.2,34.1,213.4,1389.3
ต้มยำปลาทู,"""ปลาทูแม่กลอง (ตัวเล็ก): 10 ตัว
เครื่องต้มยำ / ข่า / ตะไคร้ /ใบมะกรูด: มีขายเป็นชุดๆ ใช้ 1 ชุด
มะนาว: 2 ลูก
มะเขือเทศ: 1 ลูก
พริกชี้ฟ้า: 3-4 เม็ด
เกลือ: 1 ช้อนชา
ผงปรุงรส: ตามใจชอบ
น้ำปลา: 2 ช้อนโต๊ะ""",43.9,12.5,202.4,1097.7
ข้าวคลุกกะปิ,"""กะปิ: 
ข้าวสวย: 
หมูสามชั้น: 
น้ำตาล: 
กระเทียม: 
เนื้อสัปปะรด: 
กุนเชียง: 
ไข่ไก่: 
ไข่เค็ม: 
ปลาทู: 
ถั่วฝักยาว: 
หอมแดง: 
พริกขี้หนู: 
มะม่วง: 
กุ้งแห้ง: 
ผักชี: 
ซีอิ้วดำ:""",226.5,107.9,459.3,3714.3
มาม่าผัดกะเพราหมูสับ,"""บะหมี่กึ่งสำเร็จรูป(มาม่า)ลวก: 70 กรัม
หมูสับ: 40 กรัม
ใบกะเพรา: 1 ถ้วย
คนอร์ซอสข้นปรุงรส รสหมู: 1 ช้อนโต๊ะ
น้ำตาลทราย: 1 ช้อนชา
ซีอิ๊วดำ: 1 ช้อนชา
กระเทียม.: 4 กลีบ
พริกแดงจินดา: 8 เม็ด
น้ำมันพืช.: เล็กน้อย
น้ำเปล่า: เล็กน้อย""",46.9,138.7,270.0,2515.9
ฉู่ฉี่ปลาทูสด,"""ปลาทูสด: 2 ตัวใหญ่
พริกแกงฉูฉี่: 1+1/2 ช้อนโต๊ะ
กะทิ: 1 ถ้วย(กล่องเล็ก)
ใบมะกรูดซอย: 3 ใบ
พริกชี้ฟ้าหั่น: 2 เม็ด
น้ำปลา: 1/2-1 ช้อนโต๊ะ
น้ำตาลปี๊บ: 1/2-1 ช้อนโต๊ะ
ผงคนอร์อร่อยชัวร์: 1 ช้อนชา""",71.7,36.4,255.4,1636.0
มาม่าผัดต้มยำกุ้ง,"""เส้นบะหมี่กึ่งสำเร็จรูป: 50กรัม
เห็ดฟาง: 40กรัม
กุ้งสดปอกเปลือกผ่าหลัง: 3ตัว
พริกเผา: 1ช้อนโต๊ะ
ซอสหอยนางรม: 1ช้อนโต๊ะ
น้ำปลา: 1ช้อนโต๊ะ
น้ำตาลทราย: 1ช้อนชา
ตะไคร้ทุบหั่นท่อนเล็ก: 2ต้า
หอมแดง: 3หัว
ข่าสับ: 1ช้อนโต๊ะ
ใบมะกรูดฉีก: 6ใบ
พริกแดงจินดา: 8เม็ด
กระเทียม: 5กลีบ
คนอร์ อร่อยชัวร์ ผงรสไก่: 1ช้อนชา
มะนาว: 1/2ลูก
น้ำมันพืช:""",65.9,140.7,389.6,3088.3
โรลข้าวน้ำพริกกะปิ,"""น้ำพริกกะปิ: 1 ถ้วยตวง
ปลาทูย่างสุก: 2 ตัว
แตงกวา: 2 ลูก
แครอท: 1 ลูก
ชะอม (หั่นซอย): 1 ถ้วยตวง
ไข่ไก่: 1 ฟอง
ข้าวสวย: 1 ถ้วยตวง""",43.0,32.4,121.1,948.0
แกงส้มผักรวมเจ,"""พริกแกงส้มเจ: 3 ช้อนโต๊ะ
ถั่วเน่า(ใช้แทนกะปิ): 1/2 แผ่น
ขาเห็ดนางฟ้าต้ม: 10 ขา
น้ำตาลปี๊บ: 1 ช้อนชา
น้ำมะขามเปียก: 3 ช้อนโต๊ะ
เกลือ: 1 ช้อนชา
ผงปรุงรสเห็ดหอมเจ: 1 ช้อนชา
ถั่วฟักยาว: 5 ฟัก
หัวไชเท้า: 1/2 หัว
เห็ดนางฟ้าส่วนดอก: 10 ดอก
กวางตุ้ง: 3 ต้น
ดอกแค: 1 ถ้วย
น้ำเปล่า: 6 ถ้วย""",50.3,24.6,315.2,1683.4
ผัดไทยกุ้งสด หัวกุ้งทอดกรอบ,"""เส้นหมี่: 1 ห่อ 200 กรัม
กุ้งสด: 8 ตัว
กุยช่าย: ตามชอบ
หอมแดง: 5 หัว
พริกแห้ง: 5
กระเทียม: 3 หัว
น้ำมะขาม: 3 ช้อนโต๊ะ
น้ำตาลทราย: 1 ช้อนโต๊ะ
เต้าหู้ขาว: ตามชอบ
ถั่วงอก: ตามชอบ
น้ำปลา:""",97.1,67.8,358.6,2433.0
ขนมจีนน้ำยาไก่,"""เนื้อไก่: ครึ่งโล
กระทิ: ครึ่งโล
ข่า ตะไคร้ ใบมะกรูด: 1 กำ
ตีนไก่: ครึ่งโล
ลูกชิ้นปลาอย่างดี: 1 ถุงเล็ก
พริกแกงเผ็ด: 2 ขีด
เกลือ: 1 ช้อน
กระชาย: 2 ขีด
เส้นขนมจีนสด: 1 ห่อ""",60.2,51.4,188.8,1458.6
ต้มยำกุ้งน้ำข้น,"""กุ้ง: 10 ตัว
ตะไคร้: 2 ต้น
ใบมะกรูด: 1 กำ
ข่า: 1/2 หัว
เห็ดฟาง: 1 ขีด
คนอร์ต้มยำ: 1 ก้อน
นมจืด: 1/2 กล่อง
น้ำพริกเผา: 2 ช้อน
น้ำพริกเผาเผ็ด: 1 ช้อน
พริก: 1 กำ
เกลือ: 
น้ำปลา: 
น้ำตาล: 
มะนาว: 2 ลูก""",61.7,117.1,278.9,2416.3
ข้าวผัดแกงเขียวหวาน,"""เนื้อหมู: 100 กรัม
ข้าวสวย: 1 ถ้วย
น้ำพริกแกงเขียวหวาน: 1/2 ช้อนโต๊ะ
มะเขือเปราะหั่น 4 หรือ 6: 1 ลูก
มะเขือพวงเด็ด: 10 เม็ด
ใบโหระพา(เด็ดเป็นใบ): 10-15 ใบ
พริกชี้ฟ้าแดงหั่นเฉียง: 5 ชิ้น
กะทิ: 2 ช้อนโต๊ะ
น้ำตาลปี๊บ: 1 ช้อนชา
น้ำปลา: 2 ช้อนชา""",58.6,29.5,283.2,1632.7
ต้มยำปลากระป๋อง,"""ปลากระป๋อง: 3 กระป๋อง
ตะไคร้: 6 ท่อน
ข่า: 2 กิ่ง
ใบมะกรูด: 2 กิ่ง
เห็ดนางฟ้า: 200 กรัม
หอมแดง: 10 หัว
ผักชีฝรั่ง: 5 ต้น
ผงปรุงรส: 2 ก้อน
พริกป่น: 1 ช้อนโต๊ะ
พริกจินดา: 10 เม็ด
มะนาว: 4 ลูก""",41.1,14.0,169.5,968.4
ข้าวผัดน้ำพริกลงเรือสูตรโบราณแกล้มหมูกรอบทอดน้ำปลา,"""หมูสามชั้น: 1 ชิ้น
ปลาดุกฟู: 1 ถ้วยตวง
พริกขี้หนู: 15 เม็ด
กะปิย่าง: 2 ช้อนโต๊ะ
น้ำตาลปีบ: 2 ช้อนชา
กระเทียมกลีบเล็ก: 3 กลีบ
ถั่วฝักยาว: 1/3 ถ้วยตวง
ไข่เค็ม: 1 ฟอง
แครอทต้มสุก: 1/3 ถ้วยตวง
น้ำปลา: 3 ช้อนโต๊ะ
ซอสหอยนางรม: 1 ช้อนโต๊ะ
ซอสปรุงรส: 2 ช้อนโต๊ะ
น้ำตาลทราย: 2 ช้อนโต๊ะ""",131.5,58.3,480.5,2972.7
ต้มยำกุ้งน้ำข้น,"""กุ้งขาว: 200
ข่า: 5 แว่น
ตะไคร้: 3 ต้น
ใบมะกรูด: 4 ใบ
หอมแดง: 5 หัว
นมข้นจืด: 1/4-1/2 ถ้วย
น้ำพริกเผา: 1 ช้อนโต๊ะ
น้ำเปล่า: 3 ถ้วย
เห็ดต่างๆ: ตามชอบ
คนอร์ซุปต้มยำ(ก้อน): 2 ก้อน
ผักชีฝรั่ง: 2 ต้น
ต้นหอม: 2 ต้น
พริกแห้งทอด: 4 เม็ด
น้ำปลา: 
น้ำมะนาว:""",85.7,61.6,255.8,1920.4
แกงส้มผักรวม,"""ผักสด (ตามสะดวก): 
ปลา(ตามสะดวก): 
พริกแห้ง: 
หอมแดง: 
กะปิ: 
น้ำตาลปี๊บ: 
น้ำปลา: 
เกลือ: 
น้ำมะขามเปียก:""",69.3,25.1,295.4,1684.7
ข้าวมันไก่เด็กหอ,"""น่องไก่ติดสะโพก: 2น่อง
ข้าว: 4กรัม
กระเทียม: 1หัว
ขิง: 1แง่ง
พริกสด: 1ขีด
น้ำตาลทราย: 3ช้อน
มะนาว: 3ลูก
ซอสปรุงรสสูตร1: 2ช้อน
เต้าเจี้ยว: 4ช้อน
ซุปคนอร์: 2ก้อน""",57.3,15.3,238.9,1322.5
แกงส้มปลาทูสด,"""ปลาทูสด: 4ตัว
พริกแกงส้ม: 2ช้อนโต๊ะ
น้ำปลา: 1 1/2ช้อนโต๊ะ
น้ำตาล: 1ช้อนโต๊ะ
น้ำมะขามเปียก: 2ช้อนโต๊ะ
ผักบุ้ง: 1กำ""",38.2,6.6,218.0,1084.2
เครื่องในไก่ทอดกระเทียม,"""เครื่องในไก่: 
พริกไทยขาวป่น: 
ผงปรุงรส: 
แป้งชุบทอด: 
กระเทียม: 
น้ำมันพืช:""",47.3,134.1,231.1,2320.5
ต้มยำกุ้งน้ำใส,"""กุ้ง 3 ตัว: 250 กรัม
เห็ดนางรมหลวง: 60 กรัม
ตะไคร้: 2 ต้น
ใบมะกรูด: 6 ใบ
พริกขี้หนูสวน สีแดง: 15 เม็ด
น้ำมะนาว: 1.5 ช้อนโต๊ะ
ซีอิ๊วขาว: 1.5 ช้อนโต๊ะ
น้ำสต๊อก: 350 กรัม
ข่าแก่: 6 แว่น""",54.0,51.0,194.7,1453.8
ข้าวกะเพราเนื้อไข่ดาว เมนูนี้ไม่มีเบื่อ,"""ไข่ไก่: 1 ฟอง
เนื้อสับ หรือหั่นเป็นชิ้น/หรือจะใช้เนื้อสัตว์อย่างอื่นก็ได้ค่ะ: 250 กรัม
ซอสหอยนางรม: 1 ช้อนชา
น้ำปลา หรือ ซอสปรุงรส: 1 ช้อนชา
น้ำตาล: 1/2 ช้อนชา
ใบกระเพรา: 2 กำมือ
กระเทียม: 3 กลีบ
พริก: 3-4 เม็ด""",31.9,9.3,246.5,1197.3
"ผัดกะเพราโบราณ, ผัดกะเพราเนื้อสับ","""เนื้อสับ: 300 กรัม
พริกขี้หนูเน้นสีแดง: 35 เม็ด
กระเทียมจีน: 1 หัว
ใบกะเพรา: ตามชอบ
ซอสปรุงรส: 2 ช้อนโต๊ะ
น้ำปลา: 1/2 ช้อนโต๊ะ
น้ำตาลทราย: 1 ช้อนชา
ซอสหอยนางรม: 1 ช้อนโต๊ะ
น้ำดื่ม: 1 ทัพพี""",49.0,5.3,338.0,1595.7
