ชื่ออาหาร,ingredient_full_json,total_protein,total_fat,total_carbs,total_calories,วัตถุดิบ
แกงเขียวหวานไก่,"""น้ำพริกแกงเขียวหวาน(สำเร็จรูป): 
กะทิ (กล่องใหญ่1 กล่อง+กล่องเล็กสุด 1 กล่อง): 
ไก่สด+เครื่องใน: 
เลือดไก่(ก้อน): 
มะเขือเปราะ: 
มะเขือพวง: 
ใบโหระพา: 
พริกชีฟ้าสีแดง: 
พริกขี้หนูสด: 
น้ำตาล:""",53.1,43.5,268.7,1678.7,"น้ำพริกแกงเขียวหวาน(สำเร็จรูป):
กะทิ (กล่องใหญ่, 1 กล่อง+กล่องเล็กสุด 1 กล่อง):
ไก่สด+เครื่องใน:
เลือดไก่(ก้อน):
มะเขือเปราะ:
มะเขือพวง:
ใบโหระพา:
พริกชีฟ้าสีแดง:
พริกขี้หนูสด:
น้ำตาล:"
แกงส้มมะละกอปลากระป๋อง,"""มะละกอออกสีแต้มๆ ลูกกลางๆ: 1ลูก
ปลากระป๋อง: 1กระป๋อง
น้ำตาลปี๊บ: 2ทัพพี
น้ำส้มมะขาม ตามความชอบ: 1ทัพพี
น้ำปลา แล้วแต่ชอบ: 
น้ำเปล่า: 2ถ้วยตวง
พริกแกงส้ม: 1ทัพพี
ผักชี:""",32.8,9.8,150.6,821.8,"มะละกอออกสีแต้มๆ ลูกกลางๆ:, 1ลูก
ปลากระป๋อง:, 1กระป๋อง
น้ำตาลปี๊บ:, 2ทัพพี
น้ำส้มมะขาม ตามความชอบ:, 1ทัพพี
น้ำปลา แล้วแต่ชอบ:
น้ำเปล่า:, 2ถ้วยตวง
พริกแกงส้ม:, 1ทัพพี
ผักชี:"
พริกแกงเหลือง (แกงส้มใต้),"""พริกจินดาแห้ง(ใช้พริกขี้หนูสดได้): 30 เม็ด
กระเทียมไทย: 30 กลีบ
ขมิ้นยาว 2 นิ้ว: 1 ชิ้น
กะปิ: 1 ช้อนโต๊ะ
เกลือ: 1 ช้อนชา""",33.1,3.3,69.6,440.5,"พริกจินดาแห้ง(ใช้พริกขี้หนูสดได้):, 30 เม็ด
กระเทียมไทย:, 30 กลีบ
ขมิ้นยาว, 2 นิ้ว: 1 ชิ้น
กะปิ:, 1 ช้อนโต๊ะ
เกลือ:, 1 ช้อนชา"
น้ำพริกกะปิสูตรอร่อยเด็ด,"""กระเทียม: 1 ช้อนโต๊ะ
กะปิ: 1 ช้อนโต๊ะ
น้ำตาลปี๊บ: 1/2 ช้อนโต๊ะ
พริกขี้หนูสวน: 20 เม็ด
มะเขือพวง: 1 ช้อนโต๊ะ
น้ำมะนาวคั้นสด: 4 1/2 ช้อนโต๊ะ""",34.7,3.5,176.3,875.5,"กระเทียม:, 1 ช้อนโต๊ะ
กะปิ:, 1 ช้อนโต๊ะ
น้ำตาลปี๊บ:, 1/2 ช้อนโต๊ะ
พริกขี้หนูสวน:, 20 เม็ด
มะเขือพวง:, 1 ช้อนโต๊ะ
น้ำมะนาวคั้นสด:, 4 1/2 ช้อนโต๊ะ"
แกงส้มชะอมกุ้งพริกแกงใต้,"""กุ้ง: 5 ขีด
ชะอม: 1 กำ
พริกแกงส้มใต้: 2-3 ช้อน
ไข่ไก่: 4 ฟอง
น้ำตาลปีบ: 1-2 ช้อน
น้ำปลา: ตามรสชาติที่ชอบ
น้ำมัน: 1 ถ้วย
น้ำมะขามเปียก: ตามรสชาติที่ชอบ""",56.7,111.8,250.9,2236.6,"กุ้ง:, 5 ขีด
ชะอม:, 1 กำ
พริกแกงส้มใต้:, 2-3 ช้อน
ไข่ไก่:, 4 ฟอง
น้ำตาลปีบ:, 1-2 ช้อน
น้ำปลา: ตามรสชาติที่ชอบ
น้ำมัน:, 1 ถ้วย
น้ำมะขามเปียก: ตามรสชาติที่ชอบ"
ยำปลากระป๋องแบบบ้าน,"""ปลากระป๋อง: 3 กระป๋อง
หอมแดงซอย: 2 ช้อนโต๊ะ
พริกขี้หนู: 2 กรัม
มะนาว: 2 ลูก""",22.2,8.6,52.8,377.4,"ปลากระป๋อง:, 3 กระป๋อง
หอมแดงซอย:, 2 ช้อนโต๊ะ
พริกขี้หนู:, 2 กรัม
มะนาว:, 2 ลูก"
น้ำพริกกะปิ ปลาทูทอด,"""น้ำพริกกะปิ: 
กระเทียม: 4 กลีบใหญ่
พริก: 6 เม็ด
น้ำตาลแว่น/น้ำตาลมะพร้าว: 1.5 แว่น
กะปิอย่างดี: 1 ช้อนพูนๆ
มะนาว: 1.5 ลูกเล็ก
ผักต้ม: 
ถั่วฝักยาว: 5 ต้น
ผักบุ้ง: 4 ต้น
น้ำเปล่า: สำหรับลวก
น้ำเย็นจัด: สำหรับแช่ผัก
ปลาทูทอด: 
ปลาทูขนาดกลาง: 2 ตัว
น้ำมันปาล์ม: 1 ถ้วย""",83.8,126.4,212.8,2324,"น้ำพริกกะปิ:
กระเทียม:, 4 กลีบใหญ่
พริก:, 6 เม็ด
น้ำตาลแว่น/น้ำตาลมะพร้าว:, 1.5 แว่น
กะปิอย่างดี:, 1 ช้อนพูนๆ
มะนาว:, 1.5 ลูกเล็ก
ผักต้ม:
ถั่วฝักยาว:, 5 ต้น
ผักบุ้ง:, 4 ต้น
น้ำเปล่า: สำหรับลวก
น้ำเย็นจัด: สำหรับแช่ผัก
ปลาทูทอด:
ปลาทูขนาดกลาง:, 2 ตัว
น้ำมันปาล์ม:, 1 ถ้วย"
แกงเขียวหวานไก่ใส่ฟัก,"""สะโพกไก่: 2 ชิ้น
ฟักแก่: 3 ขีด
ตีนไก่: 2 ขีด
พริกแกงเขียวหวาน: 1.5 ขีด
กระทิสด: 1 โล
มะเขือ: 3-4 ลูก
ใบโหระพา: 1 กำเล็ก
พริกชี้ฟ้า: 4-5 เม็ด
น้ำปลา: 2 ช้อน
น้ำตาลปีบ: 1/2 ช้อน
มะเขือพวง: 1 ขีด""",81.7,57.5,338.6,2198.7,"สะโพกไก่:, 2 ชิ้น
ฟักแก่:, 3 ขีด
ตีนไก่:, 2 ขีด
พริกแกงเขียวหวาน:, 1.5 ขีด
กระทิสด:, 1 โล
มะเขือ:, 3-4 ลูก
ใบโหระพา:, 1 กำเล็ก
พริกชี้ฟ้า:, 4-5 เม็ด
น้ำปลา:, 2 ช้อน
น้ำตาลปีบ:, 1/2 ช้อน
มะเขือพวง:, 1 ขีด"
ไข่เจียวหมูสับหน้ากรอบ,"""เนื้อหมูสับ: 2-3ขีด
ไข่ไก่: 5 ฟอง
น้ำปลา: ตามชอบ
ซอสหอยนางรม: ตามชอบ
น้ำตาล: ตามชอบ""",44.8,12.3,210,1129.9,"เนื้อหมูสับ:, 2-3ขีด
ไข่ไก่:, 5 ฟอง
น้ำปลา: ตามชอบ
ซอสหอยนางรม: ตามชอบ
น้ำตาล: ตามชอบ"
เทคนิค กะเพราหมูสับ แบบแห้ง อร่อยกว่าร้าน,"""หมูสับ: 1 ถ้วย
พริกเขียว + กระเทียม สับ: 1 ถ้วย
ใบกะเพรา: 2-3 ต้น
ซีอิ๊วขาว: 2-3 ช้อนชา
น้ำปลา: 1 ช้อนชา
พริกไทย: 2-3 เหยาะ""",46.6,20.8,184.4,1111.2,"หมูสับ:, 1 ถ้วย
พริกเขียว + กระเทียม สับ:, 1 ถ้วย
ใบกะเพรา:, 2-3 ต้น
ซีอิ๊วขาว:, 2-3 ช้อนชา
น้ำปลา:, 1 ช้อนชา
พริกไทย:, 2-3 เหยาะ"
แกงเขียวหวานไก่ผัดแห้ง,"""เนื้อไก่หั่นเป็นชิ้น: 140 กรัม
มะเขือเปราะหั่น: 200 กรัม
มะเขือพวง: 2 ช้อนโต๊ะ
พริกแดงหั่นแฉลบ: 4 เม็ด
ใบโหระพา: 1 ถ้วย
พริกแกงเขียวหวาน: 2 ช้อนโต๊ะ
น้ำตาลปี๊บ: 1 /2ช้อนโต๊ะ
ใบมะกรูดฉีก: 4-5ใบ
นมข้นจืด.: 6 ช้อนโต๊ะ
น้ำมันพืช.: เล็กน้อย
น้ำเปล่า: เล็กน้อย""",40.4,124.3,224.4,2177.9,"เนื้อไก่หั่นเป็นชิ้น:, 140 กรัม
มะเขือเปราะหั่น:, 200 กรัม
มะเขือพวง:, 2 ช้อนโต๊ะ
พริกแดงหั่นแฉลบ:, 4 เม็ด
ใบโหระพา:, 1 ถ้วย
พริกแกงเขียวหวาน:, 2 ช้อนโต๊ะ
น้ำตาลปี๊บ:, 1 /2ช้อนโต๊ะ
ใบมะกรูดฉีก:, 4-5ใบ
นมข้นจืด.:, 6 ช้อนโต๊ะ
น้ำมันพืช.: เล็กน้อย
น้ำเปล่า: เล็กน้อย"
ขนมจีนน้ำยาปลาทู,"""ปลาทูนึงแกะเอาแต่เนื้อ: 2 ตัว
น้ำพริกแกงเผ็ดใต้: 100 กรัม
กะทิ: 250 กรัม
ลูกชิ้นปลา: 6-7 ลูก
กระชาย ล้างให้สะอาด ตำให้ละเอียด: 100 กรัม
ขนมจีน: 
ผักเครื่องเคียงตามชอบ: 
น้ำตาลมะพร้าว: 2 ช้อนโต๊ะ
น้ำปลา: 2 ช้อนโต๊ะ""",73.6,47.6,200.2,1523.6,"ปลาทูนึงแกะเอาแต่เนื้อ:, 2 ตัว
น้ำพริกแกงเผ็ดใต้:, 100 กรัม
กะทิ:, 250 กรัม
ลูกชิ้นปลา:, 6-7 ลูก
กระชาย ล้างให้สะอาด ตำให้ละเอียด:, 100 กรัม
ขนมจีน:
ผักเครื่องเคียงตามชอบ:
น้ำตาลมะพร้าว:, 2 ช้อนโต๊ะ
น้ำปลา:, 2 ช้อนโต๊ะ"
แกงส้มปลาหน่อไม้ดอง,"""ปลาทับทิม: 1 ตัว
เครื่องแกงส้ม: 1 ขีด
หน่อไม้ดอง: 1/2 กก.
กะปิ: 1 ช้อนพูน
น้ำตาลมะพร้าว: 1 ช้อนโต๊ะ
เกลือ: 1 ช้อนชา
น้ำปลา: 1 ช้อนโต๊ะ
น้ำมะขามเปียก: 1 ถ้วย
มะนาว: 1.5 ลูก""",38.8,3.5,238.8,1141.9,"ปลาทับทิม:, 1 ตัว
เครื่องแกงส้ม:, 1 ขีด
หน่อไม้ดอง:, 1/2 กก.
กะปิ:, 1 ช้อนพูน
น้ำตาลมะพร้าว:, 1 ช้อนโต๊ะ
เกลือ:, 1 ช้อนชา
น้ำปลา:, 1 ช้อนโต๊ะ
น้ำมะขามเปียก:, 1 ถ้วย
มะนาว:, 1.5 ลูก"
พริกแกงมัสมั่น​,"""เม็ดผักชีคั่วป่น: 1+1/2 ช้อนชา
เม็ดยี่หร่าคั่วป่น: 1/2 ช้อนชา
เม็ดกระวานคั่วป่น​ (แกะเอาเฉพาะเม็ดที่อยู่ด้านใน)​: 4 เม็ด
กานพลูคั่วป่น: 4 ดอก
ลูกจันทน์​คั่วป่น: 1 ลูก
ดอกจันทน์​คั่วป่น: 1 ดอก
อบเชยท่อน​ 1 นิ้ว​ คั่วป่น: 1 ท่อน
พริกชี้ฟ้าแช่น้ำซับแห้ง: 10 เม็ด
เกลือสมุทร​: 1 ช้อนชา
ข่าแก่หั่นละเอียด: 1 ช้อนโต๊ะ​
ตะไคร้หั่นละเอียด: 2 ต้น
ผิวมะกรูด: 1 ช้อนชา
กระเทียม​ไทย: 20​ กลีบ
หอมแดง: 5 หัว
กะปิห่อใบตองย่างจนหอม: 1 ช้อนชา
พริกไทยขาวเม็ดคั่วป่น: 1/2 ช้อนชา""",109.7,158.3,498.2,3856.3,"เม็ดผักชีคั่วป่น:, 1+1/2 ช้อนชา
เม็ดยี่หร่าคั่วป่น:, 1/2 ช้อนชา
เม็ดกระวานคั่วป่น​ (แกะเอาเฉพาะเม็ดที่อยู่ด้านใน)​:, 4 เม็ด
กานพลูคั่วป่น:, 4 ดอก
ลูกจันทน์​คั่วป่น:, 1 ลูก
ดอกจันทน์​คั่วป่น:, 1 ดอก
อบเชยท่อน​, 1 นิ้ว​ คั่วป่น: 1 ท่อน
พริกชี้ฟ้าแช่น้ำซับแห้ง:, 10 เม็ด
เกลือสมุทร​:, 1 ช้อนชา
ข่าแก่หั่นละเอียด:, 1 ช้อนโต๊ะ​
ตะไคร้หั่นละเอียด:, 2 ต้น
ผิวมะกรูด:, 1 ช้อนชา
กระเทียม​ไทย:, 20​ กลีบ
หอมแดง:, 5 หัว
กะปิห่อใบตองย่างจนหอม:, 1 ช้อนชา
พริกไทยขาวเม็ดคั่วป่น:, 1/2 ช้อนชา"
ขนมครกสิงคโปร์,"""แป้งสาลี: 2ถ้วย
แป้งมัน: 1ถ้วย
นมสดรสจืด: 1ถ้วย
ใบเตย12ใบแก่ๆ คั้นน้ำกรองกาก: 1ถ้วย
ผงฟู: 2ช้อนกาแฟพูนๆ
เกลือ: 1ช้อนกาแฟพูนๆ
น้ำตาลทราย: 1ถ้วย
น้ำมันพืช: 1ช้อนกาแฟ
ไข่ไก่: 2ฟอง""",31.1,113.4,238.5,2099,"แป้งสาลี:, 2ถ้วย
แป้งมัน:, 1ถ้วย
นมสดรสจืด:, 1ถ้วย
ใบเตย, 12ใบแก่ๆ คั้นน้ำกรองกาก: 1ถ้วย
ผงฟู:, 2ช้อนกาแฟพูนๆ
เกลือ:, 1ช้อนกาแฟพูนๆ
น้ำตาลทราย:, 1ถ้วย
น้ำมันพืช:, 1ช้อนกาแฟ
ไข่ไก่:, 2ฟอง"
ไก่ผัดเม็ดมะม่วงหิมพานต์ (น้ำพริกเผา) Gai Pad Med Mamuang,"""เนื้อไก่หั่นชิ้นพอดีคำ: 400 กรัม
แป้งทอดกรอบ: 1/2 ถต.
เม็ดมะม่วงหิมพานต์ทอด: 100 กรัม
พริกทอดกรอบ หั่นท่อน: 10 เม็ด
หอมหัวใหญ่: 1 หัว
พริกหวานสามสี (3 สี แดง เหลือง เขียว ใช้สีละอย่างละ: 1/2 ลูก
พุทราเชื่อม/พุทราอบแห้ง (ใข้พุทราเชื่อมอร่อยกว่า) ส่วนนี้ไม่ใส่ก็ได้: 50 กรัม
ต้นหอมหั่นท่อน (มากน้อยตามชอบ): 5 ต้น
กระเทียมสับละเอียด: 1 ช้อนโต๊ะ
ซอสหอยนางรม: 2 ช้อนโต๊ะ
ซีอิ้วขาว/ซอสปรุงรส: 1 ช้อนโต๊ะ
น้ำตาลทราย(ความหวานปรับเพิ่มลดได้ตามความชอบ): 1 1/2 ช้อนโต๊ะ
น้ำพริกเผา (ถ้าทำให้เด็กทานด้วยสามารถลดในส่วนนี้ลงได้): 2 ช้อนโต๊ะ""",77.7,81.3,436.3,2787.7,"เนื้อไก่หั่นชิ้นพอดีคำ:, 400 กรัม
แป้งทอดกรอบ:, 1/2 ถต.
เม็ดมะม่วงหิมพานต์ทอด:, 100 กรัม
พริกทอดกรอบ หั่นท่อน:, 10 เม็ด
หอมหัวใหญ่:, 1 หัว
พริกหวานสามสี (, 3 สี แดง เหลือง เขียว ใช้สีละอย่างละ: 1/2 ลูก
พุทราเชื่อม/พุทราอบแห้ง (ใข้พุทราเชื่อมอร่อยกว่า) ส่วนนี้ไม่ใส่ก็ได้:, 50 กรัม
ต้นหอมหั่นท่อน (มากน้อยตามชอบ):, 5 ต้น
กระเทียมสับละเอียด:, 1 ช้อนโต๊ะ
ซอสหอยนางรม:, 2 ช้อนโต๊ะ
ซีอิ้วขาว/ซอสปรุงรส:, 1 ช้อนโต๊ะ
น้ำตาลทราย(ความหวานปรับเพิ่มลดได้ตามความชอบ):, 1 1/2 ช้อนโต๊ะ
น้ำพริกเผา (ถ้าทำให้เด็กทานด้วยสามารถลดในส่วนนี้ลงได้):, 2 ช้อนโต๊ะ"
แกงส้มผักบุ้งกุ้งลอยน้ำ,"""กุ้งสดตัวใหญ่: 3 ขีด
พริกแกงส้ม: 1 ช้อนโต๊ะ
ผักบุ้ง: 2 กำ
น้ำปลา: 1 ช้อนชา
หัวหอม: 2 หัว
กระชาย: 1 ต้น
กะปิ: ครึ่งช้อนชา
น้ำตาลทราย: 1 ช้อนชา
มะขามเปียก: 4 ฝัก
ใบมะกรูด: 4 - 5 ใบ""",94.5,46.6,345.2,2178.2,"กุ้งสดตัวใหญ่:, 3 ขีด
พริกแกงส้ม:, 1 ช้อนโต๊ะ
ผักบุ้ง:, 2 กำ
น้ำปลา:, 1 ช้อนชา
หัวหอม:, 2 หัว
กระชาย:, 1 ต้น
กะปิ: ครึ่งช้อนชา
น้ำตาลทราย:, 1 ช้อนชา
มะขามเปียก:, 4 ฝัก
ใบมะกรูด:, 4 - 5 ใบ"
ข้าวผัดซีอิ๊วดำ,"""ข้าวสวย: 3 ถ้วย
เนื้อหมู: 50กรัม
ไข่ไก่: 2ฟอง
คะน้า: 30กรัม
มะเขือเทศ: 1ลูก
หอมหัวใหญ่: 1/2หัว
กระเทียมสับ: 4กลีบ
ซีอิ๊วดำ: 1ช้อนโต๊ะ
ซีอิ๊วขาว: 1/2ช้อนโต๊ะ
น้ำปลา: 1ชต
น้ำตาลทราย: 1ช้อนชา
น้ำมันพืช:""",62.5,113.6,347.9,2664,"ข้าวสวย:, 3 ถ้วย
เนื้อหมู:, 50กรัม
ไข่ไก่:, 2ฟอง
คะน้า:, 30กรัม
มะเขือเทศ:, 1ลูก
หอมหัวใหญ่:, 1/2หัว
กระเทียมสับ:, 4กลีบ
ซีอิ๊วดำ:, 1ช้อนโต๊ะ
ซีอิ๊วขาว:, 1/2ช้อนโต๊ะ
น้ำปลา:, 1ชต
น้ำตาลทราย:, 1ช้อนชา
น้ำมันพืช:"
